taxonKey	year	em_status	dr_1	dr_2	dr_3	dr_4	Groep	Species	Soort	Lijst	GBIF_scientific_name
5361762	2020	2	FALSE	TRUE	FALSE	FALSE	plant	Myriophyllum heterophyllum Michaux	ongelijkbladig vederkruid	2	Myriophyllum heterophyllum Michx.
5361785	2020	2	FALSE	TRUE	FALSE	FALSE	plant	Myriophyllum aquaticum (Vell.) Verdc.	parelvederkruid	1	Myriophyllum aquaticum (Vell.) Verdc.
5362054	2020	2	FALSE	TRUE	FALSE	FALSE	plant	Crassula helmsii (Kirk) Cockayne	watercrassula	ANB	Crassula helmsii (Kirk) Cockayne
5420991	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Ludwigia peploides (Kunth) P.H. Raven	kleine waterteunisbloem	1	Ludwigia peploides (Kunth) P.H.Raven
5421039	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Ludwigia grandiflora (Michx.) Greuter & Burdet	grote waterteunisbloem	1	Ludwigia grandiflora (Michx.) Greuter & Burdet
7978544	2020	1	FALSE	FALSE	FALSE	FALSE	plant	Hydrocotyle ranunculoides L. f.	grote waternavel	1	Hydrocotyle ranunculoides L.fil.
8002952	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Ambrosia artemisiifolia L.	alsemambrosia	ANB	Ambrosia artemisiifolia L.
8848208	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal	Afghaanse duizendknoop	4	Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal
8909595	2020	2	FALSE	TRUE	FALSE	FALSE	dier	Faxonius limosus Rafinesque, 1817	gevlekte rivierkreeft	1	Faxonius limosus (Rafinesque, 1817)
9442269	2020	3	FALSE	TRUE	FALSE	TRUE	dier	Procambarus virginalis Lyko, 2017	marmerkreeft	1	Procambarus virginalis Lyko, 2017
9799308	2020	0	TRUE	FALSE	TRUE	FALSE	dier	Lampropeltis getula (Linnaeus, 1766)	gewone koningsslang	4	Lampropeltis getula (Linnaeus, 1766)
