"","soort.x","GBIF_canonicalName","reg","status.vlaanderen","status.natura2000"
"54","gewone koningsslang","Lampropeltis getula",1,"onvoldoende data","onvoldoende data"
"55","zonnebaars","Lepomis gibbosus",1,"opkomend","opkomend"
"56","Chinese struikklaver","Lespedeza cuneata",1,NA,NA
"57","gouden mossel","Limnoperna fortunei",1,NA,NA
"58","Amerikaanse stierkikker","Lithobates catesbeianus",1,"opkomend","opkomend"
"59","waterteunisbloem","Ludwigia grandiflora",1,"niet opkomend","niet opkomend"
"60","kleine waterteunisbloem","Ludwigia peploides",1,"onduidelijk","niet opkomend"
"61","Japanse klimvaren","Lygodium japonicum",1,NA,NA
"62","moerasaronskelk","Lysichiton americanus",1,"niet opkomend","onduidelijk"
"63","marisaslak","Marisa cornuarietis",1,NA,NA
"64","Japans steltgras","Microstegium vimineum",1,"onvoldoende data","onvoldoende data*"
"65","Aziatische modderkruiper","Misgurnus anguillicaudatus",1,NA,NA
"66","Noord-Aziatische modderkruiper","Misgurnus mohoity",1,"potentieel opkomend","potentieel opkomend"
"67","Amerikaanse baars","Morone americana",1,NA,NA
"68","Amerikaanse strandschelp","Mulinia lateralis",1,NA,NA
"69","Chinese muntjak","Muntiacus reevesi",1,"niet opkomend","niet opkomend"
"70","Amerikaanse nerts","Mustela vison",1,"niet opkomend","onvoldoende data"
"71","beverrat","Myocastor coypus",1,"niet opkomend","niet opkomend"
"72","parelvederkruid","Myriophyllum aquaticum",1,"onduidelijk","onduidelijk"
"73","ongelijkbladig vederkruid","Myriophyllum heterophyllum",1,"niet opkomend","niet opkomend"
"74","rode neusbeer","Nasua nasua",1,"onvoldoende data","onvoldoende data*"
"75","wasbeerhond","Nyctereutes procyonoides",1,"onvoldoende data","onvoldoende data"
"76","grote gevlekte landplatworm","Obama nungara",1,"onduidelijk","onvoldoende data"
"77","muskusrat","Ondatra zibethicus",1,"niet opkomend","niet opkomend"
"78","rosse stekelstaart","Oxyura jamaicensis",1,"potentieel opkomend","onduidelijk"
"79","Aziatische naaldmier","Pachycondyla chinensis",1,NA,NA
"80","Californische rivierkreeft","Pacifastacus leniusculus",1,"onvoldoende data","onvoldoende data"
"81","schijnambrosia","Parthenium hysterophorus",1,NA,NA
"82","amoergrondel","Perccottus glenii",1,NA,NA
"83","gestekelde duizendknoop","Persicaria perfoliata",1,NA,NA
"84","watersla","Pistia stratiotes",1,"onduidelijk","onvoldoende data"
"85","Nieuw-Guinese landplatworm","Platydemus manokwari",1,NA,NA
"86","gestreepte koraalmeerval","Plotosus lineatus",1,NA,NA
"87","waterhyacint","Pontederia crassipes",1,"onvoldoende data","onvoldoende data"
"88","rode Amerikaanse rivierkreeft","Procambarus clarkii",1,"opkomend","opkomend"
"89","marmerkreeft","Procambarus virginalis",1,"niet opkomend","onvoldoende data"
"90","wasbeer","Procyon lotor",1,"opkomend","opkomend"
"91","mesquite","Prosopis juliflora",1,NA,NA
"92","blauwbandgrondel","Pseudorasbora parva",1,"onduidelijk","onduidelijk"
"93","kudzu","Pueraria montana lobata",1,NA,NA
"94","roodbuikbuulbuul","Pycnonotus cafer",1,NA,NA
"95","roodoorbuulbuul","Pycnonotus jocosus",1,NA,NA
"96","Japanse x Sachalinse duizendknoop","Reynoutria bohemica",1,"onduidelijk","niet opkomend"
"97","Japanse duizendknoop","Reynoutria japonica",1,"onduidelijk","opkomend"
"98","Sachalinse duizendknoop","Reynoutria sachalinensis",1,"niet opkomend","niet opkomend"
"99","stomp gaffelwier","Rugulopteryx okamurae",1,NA,NA
"100","grote vlotvaren","Salvinia molesta",1,"onvoldoende data*","onvoldoende data*"
"101","grijze eekhoorn","Sciurus carolinensis",1,"onvoldoende data","onvoldoende data"
"102","Amerikaanse voseekhoorn","Sciurus niger",1,"onvoldoende data","onvoldoende data*"
"103","tropische vuurmier","Solenopsis geminata",1,NA,NA
"104","rode vuurmier","Solenopsis invicta",1,NA,NA
"105","zwarte vuurmier","Solenopsis richteri",1,NA,NA
"106","Siberische grondeekhoorn","Tamias sibiricus",1,"opkomend","opkomend"
"107","heilige ibis","Threskiornis aethiopicus",1,"niet opkomend","onduidelijk"
"108","lettersierschildpad","Trachemys scripta",1,"niet opkomend","niet opkomend"
"109","talgboom","Triadica sebifera",1,NA,NA
"110","Aziatische reuzenhoornaar","Vespa mandarinia",1,NA,NA
"111","Aziatische hoornaar","Vespa velutina",1,"opkomend","niet opkomend"
"112","dwergvuurmier","Wasmannia auropunctata",1,NA,NA
"113","Afrikaanse klauwkikker","Xenopus laevis",1,"onvoldoende data","onvoldoende data*"
"114","Japans zeegras","Zostera japonica",1,NA,NA
"115","Aziatische tijgermug","Aedes albopictus",0,"opkomend","onvoldoende data"
"116","Amynthas agrestis","Amynthas agrestis",0,NA,NA
"117","Kaapse waterlelie","Aponogeton distachyos",0,"onduidelijk","onduidelijk"
"118","Canadese gans","Branta canadensis",0,"opkomend","opkomend"
"119","hottentotvijg","Carpobrotus edulis",0,"onvoldoende data","onvoldoende data"
"120","damhert","Dama dama",0,"opkomend","opkomend"
"121","prachtslang","Elaphe taeniura",0,"onduidelijk","onvoldoende data"
"122","egeria","Elodea densa",0,"onduidelijk","onvoldoende data"
"123","gele maskerbloem","Erythranthe guttata",0,"onduidelijk","opkomend"
"124","Kentuckyrivierkreeft","Faxonius juvenilis",0,NA,NA
"125","moerasanemoon","Houttuynia cordata",0,"onduidelijk","opkomend"
"126","Spaanse hyacint","Hyacinthoides hispanica",0,"niet opkomend","niet opkomend"
"127","Hyacinthoides ×massartiana","Hyacinthoides massartiana",0,"niet opkomend","opkomend"
"128","Hydrocharis laevigata","Hydrocharis laevigata",0,"onvoldoende data","onvoldoende data*"
"129","grote agaatslak","Lissachatina fulica",0,"onvoldoende data","onvoldoende data*"
"130","boksdoorn","Lycium barbarum",0,"onduidelijk","onduidelijk"
"131","monniksparkiet","Myiopsitta monachus",0,"onduidelijk","onduidelijk"
"132","Chinese weekschildpad","Pelodiscus sinensis",0,"onvoldoende data","onvoldoende data"
"133","Perichaeta hilgendorfi","Perichaeta hilgendorfi",0,NA,NA
"134","Perichaeta tokioensis","Perichaeta tokioensis",0,NA,NA
"135","Japans hoefblad","Petasites japonicus",0,"niet opkomend","niet opkomend"
"136","Turkse rivierkreeft","Pontastacus leptodactylus",0,"opkomend","onvoldoende data"
"137","moerashyacint","Pontederia cordata",0,"niet opkomend","niet opkomend"
"138","gestreepte Amerikaanse rivierkreeft","Procambarus acutus",0,"niet opkomend","niet opkomend"
"139","Procambarus zonangulus","Procambarus zonangulus",0,NA,NA
"140","grote Alexanderparkiet","Psittacula eupatria",0,"onduidelijk","onvoldoende data"
"141","halsbandparkiet","Psittacula krameri",0,"opkomend","onduidelijk"
"142","rimpelroos","Rosa rugosa",0,"niet opkomend","onduidelijk"
"143","Leidse plant","Saururus cernuus",0,"onduidelijk","onvoldoende data"
"144","Canadese guldenroede","Solidago canadensis",0,"niet opkomend","niet opkomend"
"145","late guldenroede","Solidago gigantea",0,"opkomend","opkomend"
"146","Amerikaanse rode eekhoorn","Tamiasciurus hudsonicus",0,"onvoldoende data","onvoldoende data"
"147","Vallisneria australis","Vallisneria australis",0,"opkomend","onvoldoende data*"
"148","Mantsjoerese wilde rijst","Zizania latifolia",0,"onduidelijk","onvoldoende data"
