"","Soort","Buffer","Gebied","Overlap"
"114","reuzenberenklauw",40,"Kust & Westhoek",0.121071258895189
"115","reuzenberenklauw",40,"Lage tot aan Hoge Kempen",0.0542441552498998
"116","reuzenberenklauw",40,"Taxandria",0.0356909846512593
"117","reuzenberenklauw",40,"Vlaamse Ardennen & Schelde-Leie",0.187598038973631
"118","reuzenberenklauw",40,"Zandig Vlaanderen",0.0899376947274919
"119","Chinese muntjak",40,"Antwerpse Kempen",0.381340945886189
"120","Chinese muntjak",40,"Demerland & Zuiderkempen",0.0274907189447533
"121","Chinese muntjak",40,"Groene Gordels",0.462452491082217
"122","Chinese muntjak",40,"Hoge Kempen tot Voeren",0.00155358223193832
"123","Chinese muntjak",40,"Kust & Westhoek",0.00428047320752068
"124","Chinese muntjak",40,"Taxandria",0.0468917964172605
"125","Chinese muntjak",40,"Vlaamse Ardennen & Schelde-Leie",0.0628570534935894
"126","Chinese muntjak",40,"Zandig Vlaanderen",0.0131329387365316
"127","watercrassula",50,"Antwerpse Kempen",0.430507048827209
"128","watercrassula",50,"Brabantse Wouden",0.0124181544283159
"129","watercrassula",50,"Demerland & Zuiderkempen",0.0356712901586029
"130","watercrassula",50,"Groene Gordels",0.0262393618226064
"131","watercrassula",50,"Hoge Kempen tot Voeren",0.00197046542960698
"132","watercrassula",50,"Kust & Westhoek",0.086463423772611
"133","watercrassula",50,"Lage tot aan Hoge Kempen",0.0132906464445321
"134","watercrassula",50,"Taxandria",0.278074027297623
"135","watercrassula",50,"Vlaamse Ardennen & Schelde-Leie",0.0130828339765099
"136","watercrassula",50,"Zandig Vlaanderen",0.100312282412777
"137","struikaster",50,"Groene Gordels",0.0205130088399306
"138","struikaster",50,"Kust & Westhoek",0.851858242866396
"139","struikaster",50,"Vlaamse Ardennen & Schelde-Leie",0.0394455748473899
"140","struikaster",50,"Zandig Vlaanderen",0.064381602477615
"141","reuzenberenklauw",50,"Antwerpse Kempen",0.12488745268644
"142","reuzenberenklauw",50,"Brabantse Wouden",0.0734272138467658
"143","reuzenberenklauw",50,"Demerland & Zuiderkempen",0.0712948641671341
"144","reuzenberenklauw",50,"Groene Gordels",0.183667640506156
"145","reuzenberenklauw",50,"Hoge Kempen tot Voeren",0.0606628955684642
"146","reuzenberenklauw",50,"Kust & Westhoek",0.115703412588388
"147","reuzenberenklauw",50,"Lage tot aan Hoge Kempen",0.0563820035026637
"148","reuzenberenklauw",50,"Taxandria",0.0365493229886641
"149","reuzenberenklauw",50,"Vlaamse Ardennen & Schelde-Leie",0.186857678424822
"150","reuzenberenklauw",50,"Zandig Vlaanderen",0.0905423187824788
"151","reuzenberenklauw",50,NA,2.51969380238269e-05
"152","Chinese muntjak",50,"Antwerpse Kempen",0.395196749474315
"153","Chinese muntjak",50,"Demerland & Zuiderkempen",0.0299417458502826
"154","Chinese muntjak",50,"Groene Gordels",0.454322032958663
"155","Chinese muntjak",50,"Hoge Kempen tot Voeren",0.00234580195529784
"156","Chinese muntjak",50,"Kust & Westhoek",0.00528856391933688
"157","Chinese muntjak",50,"Taxandria",0.0446736003665672
"158","Chinese muntjak",50,"Vlaamse Ardennen & Schelde-Leie",0.0547859194366256
"159","Chinese muntjak",50,"Zandig Vlaanderen",0.0134455860389122
"160","watercrassula",100,"Antwerpse Kempen",0.407922391773187
"161","watercrassula",100,"Brabantse Wouden",0.0121457555129281
"162","watercrassula",100,"Demerland & Zuiderkempen",0.0498379268630171
"163","watercrassula",100,"Groene Gordels",0.0257675026794019
"164","watercrassula",100,"Hoge Kempen tot Voeren",0.00280278829678088
"165","watercrassula",100,"Kust & Westhoek",0.0864491129654844
"166","watercrassula",100,"Lage tot aan Hoge Kempen",0.0156624836094849
"167","watercrassula",100,"Taxandria",0.277060496866946
"168","watercrassula",100,"Vlaamse Ardennen & Schelde-Leie",0.0170996505485722
"169","watercrassula",100,"Zandig Vlaanderen",0.105251890884197
"170","struikaster",100,"Groene Gordels",0.0125034714284514
"171","struikaster",100,"Kust & Westhoek",0.89000195198471
"172","struikaster",100,"Vlaamse Ardennen & Schelde-Leie",0.0393168743113668
"173","struikaster",100,"Zandig Vlaanderen",0.0581777022754721
"174","reuzenberenklauw",100,"Antwerpse Kempen",0.131894888894417
"175","reuzenberenklauw",100,"Brabantse Wouden",0.0828862436200587
"176","reuzenberenklauw",100,"Demerland & Zuiderkempen",0.0749839948472222
"177","reuzenberenklauw",100,"Groene Gordels",0.160277388942253
"178","reuzenberenklauw",100,"Hoge Kempen tot Voeren",0.0700583628358457
"179","reuzenberenklauw",100,"Kust & Westhoek",0.104870075369179
"180","reuzenberenklauw",100,"Lage tot aan Hoge Kempen",0.0661682654256394
"181","reuzenberenklauw",100,"Taxandria",0.041861265504729
"182","reuzenberenklauw",100,"Vlaamse Ardennen & Schelde-Leie",0.179216730001332
"183","reuzenberenklauw",100,"Zandig Vlaanderen",0.0874504232473049
"184","reuzenberenklauw",100,NA,0.000332361312019175
"185","Chinese muntjak",100,"Antwerpse Kempen",0.451459163472526
"186","Chinese muntjak",100,"Demerland & Zuiderkempen",0.0393169982529461
"187","Chinese muntjak",100,"Groene Gordels",0.388206836374539
"188","Chinese muntjak",100,"Hoge Kempen tot Voeren",0.00636408195842007
"189","Chinese muntjak",100,"Kust & Westhoek",0.00867326758711412
"190","Chinese muntjak",100,"Lage tot aan Hoge Kempen",0.000563352831986965
"191","Chinese muntjak",100,"Taxandria",0.0519618531256691
"192","Chinese muntjak",100,"Vlaamse Ardennen & Schelde-Leie",0.0370954170411763
"193","Chinese muntjak",100,"Zandig Vlaanderen",0.0163590293556219
"194","watercrassula",150,"Antwerpse Kempen",0.379407773430175
"195","watercrassula",150,"Brabantse Wouden",0.0126814799332659
"196","watercrassula",150,"Demerland & Zuiderkempen",0.0602167706947831
"197","watercrassula",150,"Groene Gordels",0.0276034438155707
"198","watercrassula",150,"Hoge Kempen tot Voeren",0.003332583732792
"199","watercrassula",150,"Kust & Westhoek",0.0907552654222801
"200","watercrassula",150,"Lage tot aan Hoge Kempen",0.0162793495442046
"201","watercrassula",150,"Taxandria",0.280610640863805
"202","watercrassula",150,"Vlaamse Ardennen & Schelde-Leie",0.0215795399800453
"203","watercrassula",150,"Zandig Vlaanderen",0.107533152583078
"204","struikaster",150,"Groene Gordels",0.0104563734347543
"205","struikaster",150,"Kust & Westhoek",0.88780102355711
"206","struikaster",150,"Vlaamse Ardennen & Schelde-Leie",0.043984970385226
"207","struikaster",150,"Zandig Vlaanderen",0.0577576326229095
"208","reuzenberenklauw",150,"Antwerpse Kempen",0.136590044440261
"209","reuzenberenklauw",150,"Brabantse Wouden",0.0876669521917565
"210","reuzenberenklauw",150,"Demerland & Zuiderkempen",0.0798723957465178
"211","reuzenberenklauw",150,"Groene Gordels",0.142752881745744
"212","reuzenberenklauw",150,"Hoge Kempen tot Voeren",0.0741392254175736
"213","reuzenberenklauw",150,"Kust & Westhoek",0.102512133295997
"214","reuzenberenklauw",150,"Lage tot aan Hoge Kempen",0.0724143990025631
"215","reuzenberenklauw",150,"Taxandria",0.047232035039544
"216","reuzenberenklauw",150,"Vlaamse Ardennen & Schelde-Leie",0.170939060000984
"217","reuzenberenklauw",150,"Zandig Vlaanderen",0.0856127869433699
"218","reuzenberenklauw",150,NA,0.000268086175689696
"219","Chinese muntjak",150,"Antwerpse Kempen",0.486454290570498
"220","Chinese muntjak",150,"Demerland & Zuiderkempen",0.0484088751379024
"221","Chinese muntjak",150,"Groene Gordels",0.321583101518043
"222","Chinese muntjak",150,"Hoge Kempen tot Voeren",0.00950685403796418
"223","Chinese muntjak",150,"Kust & Westhoek",0.01137308095797
"224","Chinese muntjak",150,"Lage tot aan Hoge Kempen",0.00428083661234038
"225","Chinese muntjak",150,"Taxandria",0.0687672451330708
"226","Chinese muntjak",150,"Vlaamse Ardennen & Schelde-Leie",0.0256957626370799
"227","Chinese muntjak",150,"Zandig Vlaanderen",0.0239299533951316
"228","watercrassula",200,"Antwerpse Kempen",0.356335600446279
"229","watercrassula",200,"Brabantse Wouden",0.0133345924573382
"230","watercrassula",200,"Demerland & Zuiderkempen",0.06739553242534
"231","watercrassula",200,"Groene Gordels",0.0295624231212285
"232","watercrassula",200,"Hoge Kempen tot Voeren",0.00378342205056019
"233","watercrassula",200,"Kust & Westhoek",0.0945012803918901
"234","watercrassula",200,"Lage tot aan Hoge Kempen",0.0179944234630744
"235","watercrassula",200,"Taxandria",0.279303651090291
"236","watercrassula",200,"Vlaamse Ardennen & Schelde-Leie",0.0263359162090459
"237","watercrassula",200,"Zandig Vlaanderen",0.111453158344953
"238","struikaster",200,"Groene Gordels",0.0106702614481514
"239","struikaster",200,"Kust & Westhoek",0.886353728129461
"240","struikaster",200,"Vlaamse Ardennen & Schelde-Leie",0.0447575010186558
"241","struikaster",200,"Zandig Vlaanderen",0.0582185094037323
"242","reuzenberenklauw",200,"Antwerpse Kempen",0.140479042009891
"243","reuzenberenklauw",200,"Brabantse Wouden",0.0911079592499074
"244","reuzenberenklauw",200,"Demerland & Zuiderkempen",0.0835876634754623
"245","reuzenberenklauw",200,"Groene Gordels",0.128007578136808
"246","reuzenberenklauw",200,"Hoge Kempen tot Voeren",0.0760600661767896
"247","reuzenberenklauw",200,"Kust & Westhoek",0.101360521995741
"248","reuzenberenklauw",200,"Lage tot aan Hoge Kempen",0.0786367122972704
"249","reuzenberenklauw",200,"Taxandria",0.0513970113469641
"250","reuzenberenklauw",200,"Vlaamse Ardennen & Schelde-Leie",0.164602957950606
"251","reuzenberenklauw",200,"Zandig Vlaanderen",0.084374159356067
"252","reuzenberenklauw",200,NA,0.000386328004492335
"253","Chinese muntjak",200,"Antwerpse Kempen",0.5132028953785
"254","Chinese muntjak",200,"Demerland & Zuiderkempen",0.0586391721564033
"255","Chinese muntjak",200,"Groene Gordels",0.262452139168861
"256","Chinese muntjak",200,"Hoge Kempen tot Voeren",0.0149192013625549
"257","Chinese muntjak",200,"Kust & Westhoek",0.013555915453541
"258","Chinese muntjak",200,"Lage tot aan Hoge Kempen",0.00699232973589967
"259","Chinese muntjak",200,"Taxandria",0.081768166349805
"260","Chinese muntjak",200,"Vlaamse Ardennen & Schelde-Leie",0.0185525533540854
"261","Chinese muntjak",200,"Zandig Vlaanderen",0.0299176270403494
"262","watercrassula",250,"Antwerpse Kempen",0.337351275840001
"263","watercrassula",250,"Brabantse Wouden",0.01385870059093
"264","watercrassula",250,"Demerland & Zuiderkempen",0.0724257228608922
"265","watercrassula",250,"Groene Gordels",0.0318732571052328
"266","watercrassula",250,"Hoge Kempen tot Voeren",0.0042548552570709
"267","watercrassula",250,"Kust & Westhoek",0.0972981217407917
"268","watercrassula",250,"Lage tot aan Hoge Kempen",0.0203740140078053
"269","watercrassula",250,"Taxandria",0.275150006920804
"270","watercrassula",250,"Vlaamse Ardennen & Schelde-Leie",0.0304084092244511
"271","watercrassula",250,"Zandig Vlaanderen",0.117005636452021
"272","struikaster",250,"Groene Gordels",0.0102819919390834
"273","struikaster",250,"Kust & Westhoek",0.888602153036724
