"","Soort","Buffer","Recht","Domeinen"
"98","reuzenberenklauw",50,"Eigendom",128
"99","reuzenberenklauw",50,"Erfpacht",8
"100","reuzenberenklauw",50,"Huur",4
"101","reuzenberenklauw",50,"Protocol landsverdediging",6
"102","reuzenberenklauw",50,"Technisch beheer conform bosdecreet",138
"103","Chinese muntjak",50,"Beheerovereenkomst",3
"104","Chinese muntjak",50,"Eigendom",12
"105","Chinese muntjak",50,"Erfpacht",1
"106","Chinese muntjak",50,"Protocol landsverdediging",3
"107","Chinese muntjak",50,"Technisch beheer conform bosdecreet",8
"108","watercrassula",100,"Beheerovereenkomst",38
"109","watercrassula",100,"Eigendom",59
"110","watercrassula",100,"Erfpacht",1
"111","watercrassula",100,"Huur",4
"112","watercrassula",100,"Protocol landsverdediging",4
"113","watercrassula",100,"Technisch beheer conform bosdecreet",46
"114","struikaster",100,"Beheerovereenkomst",10
"115","struikaster",100,"Eigendom",17
"116","struikaster",100,"Erfpacht",1
"117","struikaster",100,"Protocol landsverdediging",1
"118","struikaster",100,"Technisch beheer conform bosdecreet",8
"119","reuzenberenklauw",100,"Beheerovereenkomst",43
"120","reuzenberenklauw",100,"Eigendom",149
"121","reuzenberenklauw",100,"Erfpacht",8
"122","reuzenberenklauw",100,"Huur",4
"123","reuzenberenklauw",100,"Protocol landsverdediging",6
"124","reuzenberenklauw",100,"Technisch beheer conform bosdecreet",186
"125","Chinese muntjak",100,"Beheerovereenkomst",5
"126","Chinese muntjak",100,"Eigendom",16
"127","Chinese muntjak",100,"Erfpacht",1
"128","Chinese muntjak",100,"Protocol landsverdediging",3
"129","Chinese muntjak",100,"Technisch beheer conform bosdecreet",9
"130","watercrassula",150,"Beheerovereenkomst",41
"131","watercrassula",150,"Eigendom",67
"132","watercrassula",150,"Erfpacht",1
"133","watercrassula",150,"Huur",5
"134","watercrassula",150,"Protocol landsverdediging",5
"135","watercrassula",150,"Technisch beheer conform bosdecreet",57
"136","struikaster",150,"Beheerovereenkomst",10
"137","struikaster",150,"Eigendom",17
"138","struikaster",150,"Erfpacht",1
"139","struikaster",150,"Protocol landsverdediging",2
"140","struikaster",150,"Technisch beheer conform bosdecreet",8
"141","reuzenberenklauw",150,"Beheerovereenkomst",44
"142","reuzenberenklauw",150,"Eigendom",167
"143","reuzenberenklauw",150,"Erfpacht",8
"144","reuzenberenklauw",150,"Huur",5
"145","reuzenberenklauw",150,"Protocol landsverdediging",9
"146","reuzenberenklauw",150,"Technisch beheer conform bosdecreet",221
"147","Chinese muntjak",150,"Beheerovereenkomst",7
"148","Chinese muntjak",150,"Eigendom",16
"149","Chinese muntjak",150,"Erfpacht",1
"150","Chinese muntjak",150,"Protocol landsverdediging",3
"151","Chinese muntjak",150,"Technisch beheer conform bosdecreet",11
"152","watercrassula",200,"Beheerovereenkomst",42
"153","watercrassula",200,"Eigendom",73
"154","watercrassula",200,"Erfpacht",2
"155","watercrassula",200,"Huur",5
"156","watercrassula",200,"Protocol landsverdediging",7
"157","watercrassula",200,"Technisch beheer conform bosdecreet",74
"158","struikaster",200,"Beheerovereenkomst",11
"159","struikaster",200,"Eigendom",18
"160","struikaster",200,"Erfpacht",1
"161","struikaster",200,"Protocol landsverdediging",2
"162","struikaster",200,"Technisch beheer conform bosdecreet",8
"163","reuzenberenklauw",200,"Beheerovereenkomst",53
"164","reuzenberenklauw",200,"Eigendom",191
"165","reuzenberenklauw",200,"Erfpacht",9
"166","reuzenberenklauw",200,"Huur",5
"167","reuzenberenklauw",200,"Protocol landsverdediging",11
"168","reuzenberenklauw",200,"Technisch beheer conform bosdecreet",260
"169","Chinese muntjak",200,"Beheerovereenkomst",9
"170","Chinese muntjak",200,"Eigendom",17
"171","Chinese muntjak",200,"Erfpacht",1
"172","Chinese muntjak",200,"Protocol landsverdediging",3
"173","Chinese muntjak",200,"Technisch beheer conform bosdecreet",16
"174","watercrassula",250,"Beheerovereenkomst",44
"175","watercrassula",250,"Eigendom",80
"176","watercrassula",250,"Erfpacht",2
"177","watercrassula",250,"Huur",5
"178","watercrassula",250,"Protocol landsverdediging",7
"179","watercrassula",250,"Technisch beheer conform bosdecreet",79
"180","struikaster",250,"Beheerovereenkomst",11
"181","struikaster",250,"Eigendom",21
"182","struikaster",250,"Erfpacht",1
"183","struikaster",250,"Protocol landsverdediging",2
"184","struikaster",250,"Technisch beheer conform bosdecreet",8
"185","reuzenberenklauw",250,"Beheerovereenkomst",58
"186","reuzenberenklauw",250,"Eigendom",215
"187","reuzenberenklauw",250,"Erfpacht",9
"188","reuzenberenklauw",250,"Huur",6
"189","reuzenberenklauw",250,"Protocol landsverdediging",12
"190","reuzenberenklauw",250,"Technisch beheer conform bosdecreet",297
"191","Chinese muntjak",250,"Beheerovereenkomst",9
"192","Chinese muntjak",250,"Eigendom",18
"193","Chinese muntjak",250,"Erfpacht",1
"194","Chinese muntjak",250,"Protocol landsverdediging",3
"195","Chinese muntjak",250,"Technisch beheer conform bosdecreet",17
