CELLCODE	EOFORIGIN	NOFORIGIN	geometry	natura2000	spa	habitat
1kmE3772N3192	3772000	3192000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3192000, 3193000, 3193000, 3192000, 3192000))	FALSE	FALSE	FALSE
1kmE3772N3193	3772000	3193000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3193000, 3194000, 3194000, 3193000, 3193000))	FALSE	FALSE	FALSE
1kmE3772N3194	3772000	3194000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3194000, 3195000, 3195000, 3194000, 3194000))	FALSE	FALSE	FALSE
1kmE3772N3195	3772000	3195000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3195000, 3196000, 3196000, 3195000, 3195000))	FALSE	FALSE	FALSE
1kmE3772N3196	3772000	3196000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3196000, 3197000, 3197000, 3196000, 3196000))	FALSE	FALSE	FALSE
1kmE3772N3197	3772000	3197000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3197000, 3198000, 3198000, 3197000, 3197000))	FALSE	FALSE	FALSE
1kmE3772N3198	3772000	3198000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3198000, 3199000, 3199000, 3198000, 3198000))	FALSE	FALSE	FALSE
1kmE3772N3199	3772000	3199000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3199000, 3200000, 3200000, 3199000, 3199000))	FALSE	FALSE	FALSE
1kmE3772N3200	3772000	3200000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3200000, 3201000, 3201000, 3200000, 3200000))	FALSE	FALSE	FALSE
1kmE3772N3201	3772000	3201000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3201000, 3202000, 3202000, 3201000, 3201000))	FALSE	FALSE	FALSE
1kmE3772N3202	3772000	3202000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3202000, 3203000, 3203000, 3202000, 3202000))	FALSE	FALSE	FALSE
1kmE3772N3203	3772000	3203000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3203000, 3204000, 3204000, 3203000, 3203000))	FALSE	FALSE	FALSE
1kmE3773N3164	3773000	3164000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3164000, 3165000, 3165000, 3164000, 3164000))	FALSE	FALSE	FALSE
1kmE3773N3165	3773000	3165000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3165000, 3166000, 3166000, 3165000, 3165000))	FALSE	FALSE	FALSE
1kmE3773N3166	3773000	3166000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3166000, 3167000, 3167000, 3166000, 3166000))	FALSE	FALSE	FALSE
1kmE3773N3167	3773000	3167000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3167000, 3168000, 3168000, 3167000, 3167000))	FALSE	FALSE	FALSE
1kmE3773N3168	3773000	3168000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3168000, 3169000, 3169000, 3168000, 3168000))	FALSE	FALSE	FALSE
1kmE3773N3169	3773000	3169000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3169000, 3170000, 3170000, 3169000, 3169000))	FALSE	FALSE	FALSE
1kmE3773N3170	3773000	3170000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3170000, 3171000, 3171000, 3170000, 3170000))	FALSE	FALSE	FALSE
1kmE3773N3171	3773000	3171000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3171000, 3172000, 3172000, 3171000, 3171000))	FALSE	FALSE	FALSE
