groep,soort,GBIF_canonicalName,GBIF_scientificName,GBIF_code,species_wettelijke_naam,species_wettelijke_naam_bron,reg,rip,dun,vad,hoc,marien,brakwater,zoetwater,terrestrisch,natuur,volksgezondheid,veiligheid,infrastructuur,socioeconomisch,indamming_min,indamming_gem,indamming_stafw,indamming_max,uitroeiing_min,uitroeiing_gem,uitroeiing_stafw,uitroeiing_max,int_groep,n_tot,unique_cells
dier,gewone yabby,Cherax destructor,"Cherax destructor Clark, 1936",4417558,"Cherax destructor Clark, 1936",5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dier,gouden mossel,Limnoperna fortunei,"Limnoperna fortunei (Dunker, 1857)",5855350,"Limnoperna fortunei (Dunker, 1857)",4,4,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
dier,huiskraai,Corvus splendens,"Corvus splendens Vieillot, 1817",2482499,"Corvus splendens Viellot, 1817",1,1,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
dier,marisaslak,Marisa cornuarietis,"Marisa cornuarietis (Linnaeus, 1758)",2292586,Marisa cornuarietis (Linnaeus 1758),5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dier,mummichog,Fundulus heteroclitus,"Fundulus heteroclitus (Linnaeus, 1766)",5712056,"Fundulus heteroclitus (Linnaeus, 1766)",4,4,NA,NA,NA,NA,1,1,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,IRR,NA,NA
dier,noordelijke slangekopvis,Channa argus,"Channa argus (Cantor, 1842)",4284921,"Channa argus (Cantor, 1842)",4,4,NA,NA,NA,NA,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
dier,oostelijk muskietenvisje,Gambusia holbrooki,"Gambusia holbrooki Girard, 1859",2350570,"Gambusia holbrooki Girard, 1859",4,4,NA,NA,NA,NA,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
dier,rode vuurmier,Solenopsis invicta,"Solenopsis invicta Buren, 1972",5035230,"Solenopsis invicta Buren, 1972",4,4,NA,NA,NA,NA,0,0,0,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
dier,roestbruine Amerikaanse rivierkreeft,Faxonius rusticus,"Faxonius rusticus (Girard, 1852)",8979506,"Faxonius rusticus (Girard, 1852)",4,4,1,NA,NA,NA,0,0,1,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
dier,roodbuikbuulbuul,Pycnonotus cafer,"Pycnonotus cafer (Linnaeus, 1766)",2486131,"Pycnonotus cafer (Linnaeus, 1766)",4,4,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
dier,roodoorbuulbuul,Pycnonotus jocosus,"Pycnonotus jocosus (Linnaeus, 1758)",2486151,"Pycnonotus jocosus (Linnaeus, 1758)",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dier,tropische vuurmier,Solenopsis geminata,"Solenopsis geminata (Fabricius, 1804)",5035187,"Solenopsis geminata (Fabricius, 1804)",4,4,NA,NA,NA,NA,0,0,0,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
dier,westelijk muskietenvisje,Gambusia affinis,"Gambusia affinis (Baird & Girard, 1853)",2350580,"Gambusia affinis (Baird & Girard, 1853)",4,4,NA,NA,NA,NA,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
dier,zwarte vuurmier,Solenopsis richteri,"Solenopsis richteri Forel, 1909",5035017,"Solenopsis richteri Forel, 1909",4,4,NA,NA,NA,NA,0,0,0,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,Acacia mearnsii,Acacia mearnsii,Acacia mearnsii De Wild.,2979775,"Acacia mearnsii [as ‘mearnsi’] De Wild., Pl. Bequaert. 3: 61 (1925)",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plant,Amerikaans bezemgras,Andropogon virginicus,Andropogon virginicus L.,2706080,Andropogon virginicus L.,3,3,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,Chinese struikklaver,Lespedeza cuneata,Lespedeza cuneata (Dum.Cours.) G.Don,8114276,Lespedeza cuneata (Dum.Cours.) G.Don (Lespedeza juncea var. sericea (Thunb.) Lace & Hauech),3,3,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,Delairea odorata,Delairea odorata,Delairea odorata Lem.,3134183,Delairea odorata Lem.,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plant,Japanse klimvaren,Lygodium japonicum,Lygodium japonicum (Thunb.) Sw.,2650436,Lygodium japonicum (Thunb.) Sw.,3,3,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,Perzische berenklauw,Heracleum persicum,Heracleum persicum Desf.,3628745,Heracleum persicum Fischer,1,1,1,NA,NA,NA,0,0,0,1,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,Sosnowsky's berenklauw,Heracleum sosnowskyi,Heracleum sosnowskyi Manden.,3642949,Heracleum sosnowskyi Mandenova,1,1,1,NA,NA,NA,0,0,0,1,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,alligatorkruid,Alternanthera philoxeroides,Alternanthera philoxeroides (Mart.) Griseb.,3084923,Alternanthera philoxeroides (Mart.) Griseb.,2,2,NA,NA,NA,NA,0,0,1,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,ballonrank,Cardiospermum grandiflorum,Cardiospermum grandiflorum Sw.,3189935,Cardiospermum grandiflorum Sw.,3,3,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,egeria,Egeria densa,Egeria densa Planch.,5329260,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plant,gestekelde duizendknoop,Persicaria perfoliata,Persicaria perfoliata (L.) H.Gross,4033648,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),1,1,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,hakea,Hakea sericea,Hakea sericea Schrad. & J.C.Wendl.,7287606,Hakea sericea Schrad. & J.C.Wendl. s.l.,5,4,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,hoog pampagras,Cortaderia jubata,Cortaderia jubata (Lemoine) Stapf,2704521,Cortaderia jubata (Lemoine ex Carrière) Stapf,3,3,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,kudzu,Pueraria montana lobata,Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep,2977647,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),1,1,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,mesquite,Prosopis juliflora,Prosopis juliflora (Sw.) DC.,5358460,Prosopis juliflora (Sw.) DC.,3,3,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,oosterse hop,Humulus scandens,Humulus scandens (Lour.) Merr.,2984537,Humulus scandens (Lour.) Merr.,3,3,NA,NA,NA,NA,0,0,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,roze rimpelgras,Ehrharta calycina,Ehrharta calycina Sm.,2702865,Ehrharta calycina Sm.,3,3,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,schijnambrosia,Parthenium hysterophorus,Parthenium hysterophorus L.,3086784,Parthenium hysterophorus L.,1,1,NA,NA,NA,NA,0,0,0,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,smalle theeplant,Gymnocoronis spilanthoides,Gymnocoronis spilanthoides DC.,6063677,Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.,3,3,NA,NA,NA,NA,0,0,0,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,talgboom,Triadica sebifera,Triadica sebifera (L.) Small,3054399,Triadica sebifera (L.) Small (Sapium sebiferum (L.) Roxb.),3,3,NA,NA,NA,NA,0,0,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
plant,wilgacacia,Acacia saligna,Acacia saligna (Labill.) H.L.Wendl.,2978552,Acacia saligna (Labill.) H.L.Wendl. (Acacia cyanophylla Lindl.),3,3,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
