WKT,naam,beschrijving
"POINT (5.709806 51.159752)",GAO 23b,
"POINT (5.716475 51.158647)",GAO 23c,
"POINT (5.720915 51.158467)",GAO 23d,
"POINT (5.720409 51.159091)",GAO 23e,Extra
"POINT (5.716877 51.15846)",GAO 23f,
"POINT (5.738001 51.16358)",GAO 24a,
"POINT (5.740183 51.164552)",GAO 24b,
"POINT (5.740881 51.162814)",GAO 24c,
"POINT (5.742125 51.162935)",GAO 24d,
"POINT (5.758087 51.168074)",GAO 25a,
"POINT (5.770146 51.169984)",GAO 25b,
"POINT (5.779563 51.171791)",GAO 25c,
"POINT (5.696152 51.156971)",GAO 30a,
"POINT (5.695293 51.156904)",GAO 30b,
"POINT (5.694811 51.156476)",GAO 30c,
"POINT (5.689457 51.155518)",GAO 30d,
"POINT (5.689414 51.155316)",GAO 30e,
"POINT (5.684243 51.154038)",GAO 30f,
"POINT (5.684629 51.154414)",GAO 30g,
"POINT (5.682354 51.153647)",GAO 30h,
"POINT (5.646998 51.149569)",GAO 31a,
"POINT (5.64122 51.14619)",GAO 31b,
"POINT (5.628929 51.152545)",GAO 31c,
"POINT (5.637787 51.155774)",GAO 31d,
"POINT (5.658686 51.155101)",GAO 31e,
"POINT (5.658858 51.152355)",GAO 31f,
"POINT (5.65635 51.123839)",GAO 32a,
"POINT (5.6612 51.125684)",GAO 32b,
"POINT (5.680056 51.127818)",GAO 32c,
"POINT (5.718678 51.126947)",GAO 32d,
"POINT (5.731725 51.128832)",GAO 32e,
"POINT (5.730544 51.127578)",GAO 32f,
"POINT (5.707901 51.088573)",GAO 33a,
"POINT (5.707257 51.089072)",GAO 33b,
"POINT (5.701766 51.086875)",GAO 33c,
"POINT (5.701533 51.087592)",GAO 33d,
"POINT (5.723286 51.08798)",GAO 33f,
"POINT (5.74307 51.099839)",GAO 33g,
"POINT (5.743846 51.09389)",GAO 33h,
"POINT (5.71838 51.092902)",GAO 33i,Extra
"POINT (5.694361 51.084637)",GAO 34a,E2024STF822
"POINT (5.682949 51.081348)",GAO 34b,E2024STF822
"POINT (5.673465 51.076738)",GAO 34c,E2024STF822
"POINT (5.673052 51.077225)",GAO 34d,E2024STF822
"POINT (5.656256 51.068999)",GAO 34e,E2024STF822
"POINT (5.61577 51.100753)",GAO 35a,
"POINT (5.629868 51.111376)",GAO 35b,
"POINT (5.638419 51.114917)",GAO 35c,
"POINT (5.610953 51.113974)",GAO 35d,
"POINT (5.59177 51.111199)",GAO 35e,
"POINT (5.597864 51.09336)",GAO 35f,
"POINT (5.630125 51.111354)",GAO 35g,Extra
"POINT (5.59949 51.171413)",GAO 36a,
"POINT (5.601942 51.169519)",GAO 36b,
"POINT (5.590527 51.16368)",GAO 36c,
"POINT (5.580892 51.160692)",GAO 36d,E2024STF814
"POINT (5.571816 51.155195)",GAO 36e,
"POINT (5.561709 51.153789)",GAO 36f,
"POINT (5.598986 51.171429)",Punt 36g,
"POINT (5.55325 51.189804)",GAO 37a,E2024STF849
"POINT (5.543594 51.179662)",GAO 37c,E2024STF849
"POINT (5.54244 51.188676)",GAO 37d,E2024STF849
"POINT (5.537162 51.201154)",GAO 37f,E2024STF849
"POINT (5.536389 51.20508)",GAO 37g,E2024STF849
"POINT (5.55166 51.20685)",GAO 38a,E2024STF850
"POINT (5.534623 51.20763)",GAO 38c,E2024STF850
"POINT (5.527155 51.213787)",GAO 38d,Foto vergeten
"POINT (5.535208 51.225502)",GAO 38e,E2024STF850
"POINT (5.526727 51.2146)",GAO 38g,E2024STF850
"POINT (5.55272 51.223066)",GAO 39a,
"POINT (5.549171 51.241145)",GAO 39b,
"POINT (5.547068 51.23596)",GAO 39c,
"POINT (5.54827 51.228758)",GAO 39d,E2024STF827
"POINT (5.549272 51.225101)",GAO 39e,E2024STF827
"POINT (5.550965 51.218735)",GAO 40a,E2024STF783
"POINT (5.551094 51.219289)",GAO 40b,E2024STF783
"POINT (5.549023 51.219427)",GAO 40c,E2024STF783
"POINT (5.550911 51.220049)",GAO 40d,E2024STF783
"POINT (5.551995 51.220379)",GAO 40e,E2024STF783
"POINT (5.552851 51.22089)",GAO 40f,E2024STF783
"POINT (5.55146 51.209787)",GAO 41a,E2024STF784
"POINT (5.550398 51.209884)",GAO 41b,E2024STF784
"POINT (5.552764 51.209592)",GAO 41c,Foto vergeten
"POINT (5.748963 51.140838)",GAO 42a,
"POINT (5.750165 51.145227)",GAO 42b,
"POINT (5.756559 51.144823)",GAO 42c,
"POINT (5.773425 51.150853)",GAO 42d,
"POINT (5.751881 51.152361)",GAO 42e,
"POINT (5.81498 51.132402)",GAO 43a,
"POINT (5.808499 51.129601)",GAO 43b,
"POINT (5.808671 51.129089)",GAO 43c,
"POINT (5.802577 51.128039)",GAO 43d,
"POINT (5.80262 51.127365)",GAO 43e,
"POINT (5.790046 51.128443)",GAO 43f,
"POINT (5.790518 51.127123)",GAO 43g,
"POINT (5.770991 51.133506)",GAO 43h,
"POINT (5.770047 51.126611)",GAO 43i,
"POINT (5.605753 51.153348)",GAO 45a,
"POINT (5.59526 51.153114)",GAO 45b,
"POINT (5.581202 51.146592)",GAO 45c,
"POINT (5.57543 51.144552)",GAO 45d,
"POINT (5.568156 51.140144)",GAO 45e,
"POINT (5.70246 51.175763)",GAO 49a,
"POINT (5.703733 51.174852)",GAO 49b,
"POINT (5.705736 51.175681)",GAO 49c,
"POINT (5.707946 51.178693)",GAO 49d,
"POINT (5.702641 51.17547)",Punt 49e,
