soort,species,abbr,gebied,intersect_area,type
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Vijvercomplex,2371114.307879677,anb-domein
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Dijlevallei,1989071.450178173,anb-domein
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Antwerpse Kempen,18795232.142824583,anb-regio
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Taxandria,12580722.615276609,anb-regio
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Kust & Westhoek,12494734.252922872,anb-regio
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,De Polders van Kruibeke,2536824.3076931722,anb-domein
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Vijvercomplex,2370559.6441797055,anb-domein
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Webbekoms en Diesters Broek,1890920.0783822234,anb-domein
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Onbevaarbare waterlopen 1e categorie,5372424.467688156,NBHP
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Polders van Kruibeke,3639761.349953679,NBHP
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Schulensbroek,3516378.588957625,NBHP
rimpelroos,Rosa rugosa Thunb.,Rr,Duingebieden inclusief IJzermonding en Zwin,10233021.559832687,HBTRL
rimpelroos,Rosa rugosa Thunb.,Rr,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,943619.6053146899,HBTRL
rimpelroos,Rosa rugosa Thunb.,Rr,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",481020.36783338117,HBTRL
rimpelroos,Rosa rugosa Thunb.,Rr,Westkust,3015506.3870938686,VGLRL
rimpelroos,Rosa rugosa Thunb.,Rr,Het Zwin,1290477.3241110113,VGLRL
rimpelroos,Rosa rugosa Thunb.,Rr,De Ronde Put,741788.1203428954,VGLRL
rimpelroos,Rosa rugosa Thunb.,Rr,Kust & Westhoek,6391686.163203215,anb-regio
rimpelroos,Rosa rugosa Thunb.,Rr,Taxandria,608238.948549797,anb-regio
rimpelroos,Rosa rugosa Thunb.,Rr,Antwerpse Kempen,541812.5934962233,anb-regio
rimpelroos,Rosa rugosa Thunb.,Rr,De Westhoek,997387.5013827188,anb-domein
rimpelroos,Rosa rugosa Thunb.,Rr,Zwinduinen en -polders,635253.4370528396,anb-domein
rimpelroos,Rosa rugosa Thunb.,Rr,Het Zwin,404163.5682127002,anb-domein
rimpelroos,Rosa rugosa Thunb.,Rr,Kust & Westhoek,5445065.891443809,anb-regio
rimpelroos,Rosa rugosa Thunb.,Rr,Taxandria,373819.5847765147,anb-regio
rimpelroos,Rosa rugosa Thunb.,Rr,Groene Gordels,214402.22174531507,anb-regio
rimpelroos,Rosa rugosa Thunb.,Rr,De Westhoek,997387.5013827188,anb-domein
rimpelroos,Rosa rugosa Thunb.,Rr,Zwinduinen en -polders,635253.4370528396,anb-domein
rimpelroos,Rosa rugosa Thunb.,Rr,Het Zwin,404163.5682127002,anb-domein
rimpelroos,Rosa rugosa Thunb.,Rr,Duinbossen van De Haan,1581264.7553547318,NBHP
rimpelroos,Rosa rugosa Thunb.,Rr,Duinen en Bossen van De Panne,1405056.865005734,NBHP
rimpelroos,Rosa rugosa Thunb.,Rr,Zwinduinen en Polders,1043266.1834187385,NBHP
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,Demervallei,8958819.634263877,HBTRL
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,Duingebieden inclusief IJzermonding en Zwin,8169165.147213496,HBTRL
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",6431540.549310436,HBTRL
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",6253083.230895926,VGLRL
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,De Demervallei,5775341.490936479,VGLRL
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,Militair domein en de vallei van de Zwarte Beek,5613984.5849453295,VGLRL
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,Demerland & Zuiderkempen,15169004.042057345,anb-regio
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,Hoge Kempen tot Voeren,14304470.871839672,anb-regio
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,Antwerpse Kempen,10558866.68756724,anb-regio
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,MD Kamp Beverlo,2089676.0091653273,anb-domein
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,De Westhoek,1647616.192299621,anb-domein
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,Meerdaalwoud,1609544.5378645107,anb-domein
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,Demerland & Zuiderkempen,11666957.578629686,anb-regio
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,Hoge Kempen tot Voeren,7367552.739853006,anb-regio
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,Lage tot aan Hoge Kempen,7169594.422174539,anb-regio
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,MD Kamp Beverlo,2089676.0091653273,anb-domein
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,De Westhoek,1647616.192299621,anb-domein
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,Meerdaalwoud,1609544.5378645107,anb-domein
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,Meerdaalwoud-Heverleebos,2752395.4207255286,NBHP
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,Stad Genk,2330556.5210253005,NBHP
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,Kamp van Beverlo,2069948.4792058223,NBHP
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen,1304915.9685517321,HBTRL
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,"Vallei- en brongebieden van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden",1074045.8658684168,HBTRL
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Bossen van het zuidoosten van de Zandleemstreek,921118.7842724702,HBTRL
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,De Demervallei,826535.3454982865,VGLRL
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Poldercomplex,761931.8313067646,VGLRL
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Durme en de middenloop van de Schelde,753608.3743269895,VGLRL
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Vlaamse Ardennen & Schelde-Leie,1732233.7009457597,anb-regio
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Groene Gordels,1529874.454336519,anb-regio
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Antwerpse Kempen,1248532.8181947153,anb-regio
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,De Gavers,295835.06880581856,anb-domein
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Tangebeekbos,285781.09934468626,anb-domein
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Dorent,278434.1050093146,anb-domein
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Groene Gordels,976868.9491402082,anb-regio
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Kust & Westhoek,749002.6427680971,anb-regio
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Vlaamse Ardennen & Schelde-Leie,704788.6836528656,anb-regio
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Tangebeekbos,281289.67894765566,anb-domein
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Dorent,278434.1050093146,anb-domein
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Drongengoed,182394.48380914092,anb-domein
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Onbevaarbare waterlopen 1e categorie,706058.9846371154,NBHP
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,"Drie Fonteinen, Tangebeekbos en Klein Hoogveld",343454.96938163287,NBHP
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,Scheldemeersen,320031.0127022474,NBHP
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,30617402.038619183,HBTRL
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Demervallei,12207391.733647194,HBTRL
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Polders,10950775.705377415,HBTRL
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Poldercomplex,29144402.84771412,VGLRL
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Schorren en polders van de Beneden-Schelde,22668835.220764764,VGLRL
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Durme en de middenloop van de Schelde,18016271.522290163,VGLRL
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Antwerpse Kempen,25801762.074281976,anb-regio
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Taxandria,16204750.430778008,anb-regio
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Kust & Westhoek,15549834.413772967,anb-regio
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,De Polders van Kruibeke,3726502.6135146567,anb-domein
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Het Zwin,2317968.1935414663,anb-domein
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Kalmthoutse Heide - Eig. Gem. Kalmthout,2194837.731591616,anb-domein
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Antwerpse Kempen,22425895.08828774,anb-regio
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Kust & Westhoek,13983787.041375564,anb-regio
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Taxandria,13557076.965942016,anb-regio
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,De Polders van Kruibeke,2775335.5887101283,anb-domein
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Het Zwin,2317968.1935414663,anb-domein
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Kalmthoutse Heide - Eig. Gem. Kalmthout,2194837.731591616,anb-domein
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Onbevaarbare waterlopen 1e categorie,5143720.385266657,NBHP
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Polders van Kruibeke,3852975.4018917386,NBHP
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,Zwinduinen en Polders,3608874.611420964,NBHP
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,Duingebieden inclusief IJzermonding en Zwin,62389.20331587308,HBTRL
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,Bossen van het zuidoosten van de Zandleemstreek,33267.062578281446,HBTRL
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,De Demervallei,23570.847184363403,VGLRL
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,Kust & Westhoek,55767.43871378169,anb-regio
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,Vlaamse Ardennen & Schelde-Leie,33701.07147078639,anb-regio
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,Demerland & Zuiderkempen,3874.7077318053925,anb-regio
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,De Noordduinen,48249.55776717043,anb-domein
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,Makegemse bossen,30549.251271336576,anb-domein
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,Kwartier Adj VI F. Allaeys,7517.880946611258,anb-domein
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,Kust & Westhoek,55767.43871378169,anb-regio
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,Vlaamse Ardennen & Schelde-Leie,33400.289662236355,anb-regio
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,Demerland & Zuiderkempen,3874.7077318053925,anb-regio
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,De Noordduinen,48249.55776717043,anb-domein
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,Makegemse bossen,30549.251271336576,anb-domein
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,Kwartier Adj VI F. Allaeys,7517.880946611258,anb-domein
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,"Koksijde, Simliduinen en Sint-Laureinsduinen",55855.94855694716,NBHP
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,Makegemse Bossen,30622.547433302156,NBHP
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,Bourgoyen-Ossemeersen,24514.857058350444,NBHP
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",949461.3472961863,HBTRL
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,"Vennen, heiden en moerassen rond Turnhout",512729.43479594134,HBTRL
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Demervallei,463559.67381838866,HBTRL
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,De Demervallei,452938.585602686,VGLRL
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Durme en de middenloop van de Schelde,353213.3732059268,VGLRL
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,De Ronde Put,312657.20219097903,VGLRL
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Taxandria,880552.8357560871,anb-regio
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Demerland & Zuiderkempen,424871.1272917822,anb-regio
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Antwerpse Kempen,307570.8508178608,anb-regio
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Goorken,194267.9070801618,anb-domein
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,De Polders van Kruibeke,153648.58080794426,anb-domein
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Prinsenpark,100044.30427099366,anb-domein
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Taxandria,737569.3927190051,anb-regio
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Demerland & Zuiderkempen,203414.01110308405,anb-regio
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Hoge Kempen tot Voeren,171766.03239403336,anb-regio
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Goorken,194267.9070801618,anb-domein
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Scheps,98909.02845253826,anb-domein
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Teut-Ten Haagdoorn,91119.1703342044,anb-domein
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Goorken-Rode Del,168470.76893322408,NBHP
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Polders van Kruibeke,150305.56573895717,NBHP
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,Laakvalleien,146325.56533420837,NBHP
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Kalmthoutse Heide,253096.8572447695,HBTRL
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,138393.58729913202,HBTRL
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Bos- en heidegebieden ten oosten van Antwerpen,94204.72123729408,HBTRL
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,IJzervallei,517060.87563715223,VGLRL
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Schorren en polders van de Beneden-Schelde,478986.2312710412,VGLRL
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,De Kuifeend en de Blokkersdijk,322775.9746416048,VGLRL
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Antwerpse Kempen,669189.6293401984,anb-regio
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Kust & Westhoek,271593.28735726554,anb-regio
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Taxandria,190882.9503222193,anb-regio
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Linkerscheldeoever - Groot Rietveld,197508.44905936296,anb-domein
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Linkerscheldeoever - Verrebroekse Plassen,186670.37081747607,anb-domein
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,De Gavers,130567.19703395238,anb-domein
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Antwerpse Kempen,669189.6293401984,anb-regio
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Kust & Westhoek,264326.326996892,anb-regio
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Taxandria,94204.72123729408,anb-regio
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Linkerscheldeoever - Groot Rietveld,197508.44905936296,anb-domein
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Linkerscheldeoever - Verrebroekse Plassen,186670.37081747607,anb-domein
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Hoge Dijken,101485.35958299995,anb-domein
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,De Blankaart,364676.267925746,NBHP
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Stappersven,247625.8310316812,NBHP
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,Kuifeend - Grote Kreek,242106.6959505027,NBHP
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Duingebieden inclusief IJzermonding en Zwin,1931333.5991752974,HBTRL
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,661245.1531747405,HBTRL
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Bossen van het zuidoosten van de Zandleemstreek,569568.4961057157,HBTRL
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Westkust,607913.2419393515,VGLRL
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,De Demervallei,555314.0962320613,VGLRL
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Durme en de middenloop van de Schelde,454579.031366508,VGLRL
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Kust & Westhoek,1697408.6394441782,anb-regio
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Groene Gordels,1324377.2009980548,anb-regio
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Antwerpse Kempen,1274745.3834243421,anb-regio
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Zonienwoud,386724.08014579193,anb-domein
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Plantentuin Meise,371103.21659995796,anb-domein
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Vrijbroekpark,252115.31294047527,anb-domein
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Kust & Westhoek,1225275.1874701085,anb-regio
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Brabantse Wouden,705699.6461342825,anb-regio
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Demerland & Zuiderkempen,447965.71087604953,anb-regio
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Zonienwoud,386724.08014579193,anb-domein
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,De Noordduinen,164906.71270595866,anb-domein
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Duinbos-Klemskerke,131290.64368881448,anb-domein
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Zoniënwoud,413321.3575499901,NBHP
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Duinen en Bossen van De Panne,309384.98081141635,NBHP
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,Onbevaarbare waterlopen 1e categorie,276101.7689980899,NBHP
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,Demervallei,685568.7962908386,HBTRL
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",655968.6275297683,HBTRL
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden",539140.4319019855,HBTRL
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,De Demervallei,1041677.8188444917,VGLRL
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",346275.2649450908,VGLRL
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,Het Vijvercomplex van Midden-Limburg,225689.9216184169,VGLRL
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,Demerland & Zuiderkempen,571060.8302897129,anb-regio
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,Antwerpse Kempen,328460.0434944077,anb-regio
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,Lage tot aan Hoge Kempen,237545.47013384692,anb-regio
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,Demerbroeken,177908.90896687808,anb-domein
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,MD Klein Schietveld,150362.80904712412,anb-domein
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,De Uitlegger,148272.04812885122,anb-domein
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,Demerland & Zuiderkempen,401865.65407978755,anb-regio
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,Antwerpse Kempen,320290.4825818372,anb-regio
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,Taxandria,205747.98057779926,anb-regio
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,Demerbroeken,176625.03830167468,anb-domein
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,MD Klein Schietveld,150362.80904712412,anb-domein
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,De Uitlegger,148272.04812885122,anb-domein
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,Onbevaarbare waterlopen 1e categorie,210762.92302596528,NBHP
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,Vallei van de Zwarte Beek,160360.9649435509,NBHP
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,Visbeekvallei,154671.22829105053,NBHP
late guldenroede,Solidago gigantea Aiton,Sg,Demervallei,1738647.9042912303,HBTRL
late guldenroede,Solidago gigantea Aiton,Sg,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,1575886.9623050895,HBTRL
