Soort,HBTRL1,HBTRL2,HBTRL3,VGLRL1,VGLRL2,VGLRL3,PATDATregio1,PATDATregio2,PATDATregio3,PATDATdomein1,PATDATdomein2,PATDATdomein3,NBHP1,NBHP2,NBHP3
mahonie,Duingebieden inclusief IJzermonding en Zwin,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",Westkust,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",De Demervallei,Kust & Westhoek,Lage tot aan Hoge Kempen,Hoge Kempen tot Voeren,De Doornpanne,De Westhoek,De Noordduinen,LIFE+ flandre,Duinen & bossen van De Panne,BP/WV/04/001/OP IWVA-St-André
late guldenroede,Demervallei,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",Durme en de middenloop van de Schelde,Militair domein en de vallei van de Zwarte Beek,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",Groene Gordels,Antwerpse Kempen,Taxandria,Ophovenderheide,Teut-Ten Haagdoorn,Zonienwoud,Dal van de Grensmaas,Vallei van de Grote Nete Hullebrug-Herenbossen,Averbode Bos en Heide
sneeuwbes,Duingebieden inclusief IJzermonding en Zwin,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen,Westkust,De Demervallei,Durme en de middenloop van de Schelde,Kust & Westhoek,Antwerpse Kempen,Groene Gordels,Zonienwoud,Plantentuin Meise,Vrijbroekpark,Zoniënwoud,Duinen & bossen van De Panne,Onbevaarbare waterlopen 1e categorie
parelvederkruid,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",Demervallei,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden",De Demervallei,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",Het Vijvercomplex van Midden-Limburg,Demerland & Zuiderkempen,Antwerpse Kempen,Lage tot aan Hoge Kempen,Demerbroeken,MD Klein Schietveld,De Uitlegger,Bos- en aanvullend landschapsbeheerplan Bokrijk,Onbevaarbare waterlopen 1e categorie,MD Klein Schietveld
smalle waterpest,Demervallei,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",Abeek met aangrenzende moerasgebieden,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",De Demervallei,IJzervallei,Demerland & Zuiderkempen,Taxandria,Antwerpse Kempen,De Melle,Webbekoms en Diesters Broek,Volharding,Dal van de Grensmaas,Onbevaarbare waterlopen 1e categorie,IJzer- en Handzamevallei
invasieve duizendknopen,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor","Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden",De Demervallei,Durme en de middenloop van de Schelde,Militair domein en de vallei van de Zwarte Beek,Antwerpse Kempen,Groene Gordels,Demerland & Zuiderkempen,MD Kamp Beverlo,Demerbroeken,Dorent,Onbevaarbare waterlopen 1e categorie,Dal van de Grensmaas,MD Kamp Beverlo
grote waternavel,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",Demervallei,Abeek met aangrenzende moerasgebieden,De Demervallei,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",Poldercomplex,Demerland & Zuiderkempen,Vlaamse Ardennen & Schelde-Leie,Groene Gordels,Broek De Naeyer,Demerbroeken,Webbekoms en Diesters Broek,Onbevaarbare waterlopen 1e categorie,Provinciaal Domein Broek De Naeyer,Dal van de Grensmaas
Chinese muntjak,"Vennen, heiden en moerassen rond Turnhout",Klein en Groot Schietveld,Historische fortengordels van Antwerpen als vleermuizenhabitats,"De Maatjes, Wuustwezelheide en Groot Schietveld",De Demervallei,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",Antwerpse Kempen,Groene Gordels,Taxandria,Vordenstein,De Inslag - Eig. ANB,West-Beersgat,UBP/AN/10/04 - Kapellen-Schoten-Brasschaat,Vordenstein,Calesberg Schoten
Japans hoefblad,Bossen van het zuidoosten van de Zandleemstreek,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,"Vallei- en brongebieden van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden",Militair domein en de vallei van de Zwarte Beek,Durme en de middenloop van de Schelde,Kalmthoutse Heide,Kust & Westhoek,Zandig Vlaanderen,Groene Gordels,t Veld,Vrijbroekpark,Bulskampveld provincie,BP/WV/07/001/OP-PR Groenhove,BP/WV/10/001/OP 't Veld,BP/WV/05/001/OP Bulskampveld
hemelboom,Duingebieden inclusief IJzermonding en Zwin,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,Bos- en heidegebieden ten oosten van Antwerpen,Westkust,Durme en de middenloop van de Schelde,Militair domein en de vallei van de Zwarte Beek,Kust & Westhoek,Antwerpse Kempen,Groene Gordels,Calmeynbos,MD Kamp Beverlo,De Gavers,Dal van de Grensmaas,UBP/AN/10/04 - Kapellen-Schoten-Brasschaat,UBBP/AN/10/08 - Nachtegalenpark
boksdoorn,Duingebieden inclusief IJzermonding en Zwin,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,Polders,Westkust,Het Zwin,Poldercomplex,Kust & Westhoek,Vlaamse Ardennen & Schelde-Leie,Brabantse Wouden,Sint-Laureinsduinen,Raversijde,IJzermonding,Duinbossen van De Haan,LIFE+ flandre,Middelkerke-Raversijde
struikaster,Duingebieden inclusief IJzermonding en Zwin,Polders,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",Westkust,Poldercomplex,Het Zwin,Kust & Westhoek,Zandig Vlaanderen,Vlaamse Ardennen & Schelde-Leie,Ter Yde,De Westhoek,Het Zwin,Koninklijke Golfclub Oostende,Duinen & bossen van De Panne,LIFE+ flandre
Amerikaanse hondsvis,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor","Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden","Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden","Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",Bokrijk en omgeving,De Ronde Put,Taxandria,Demerland & Zuiderkempen,Hoge Kempen tot Voeren,Scheps,Postels Natuurgebied - Deelgebied Ronde Put,Borchbeemden,De Zegge,De Maten,Het Wik
Chinese wolhandkrab,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden","Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",Durme en de middenloop van de Schelde,De Demervallei,IJzervallei,Groene Gordels,Demerland & Zuiderkempen,Antwerpse Kempen,De Polders van Kruibeke,Kalkense meersen,Hazewinkel,Onbevaarbare waterlopen 1e categorie,Polders van Kruibeke,Laakvalleien
Siberische grondeekhoorn,Zoniënwoud,Duingebieden inclusief IJzermonding en Zwin,-,Westkust,-,-,Brabantse Wouden,Kust & Westhoek,Demerland & Zuiderkempen,Zonienwoud,Calmeynbos,De Oosthoekduinen,Zoniënwoud,Duinen & bossen van De Panne,Waterwingebied De Westhoek
blauwbandgrondel,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",Demervallei,De Demervallei,Durme en de middenloop van de Schelde,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",Demerland & Zuiderkempen,Groene Gordels,Taxandria,Hertberg West,Vijvercomplex,Vallei van de Grote Nete - Regio SN - Eig. ANB,Onbevaarbare waterlopen 1e categorie,Laakvalleien,Demerbroeken
lettersierschildpad,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,Historische fortengordels van Antwerpen als vleermuizenhabitats,Demervallei,De Demervallei,Durme en de middenloop van de Schelde,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",Groene Gordels,Antwerpse Kempen,Vlaamse Ardennen & Schelde-Leie,Zonienwoud,Vijvercomplex,Park Tervuren,Onbevaarbare waterlopen 1e categorie,Zoniënwoud,Provinciaal domein Kessel-Lo
smalle olijfwilg,Duingebieden inclusief IJzermonding en Zwin,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,Historische fortengordels van Antwerpen als vleermuizenhabitats,Schorren en polders van de Beneden-Schelde,Poldercomplex,Het Zwin,Antwerpse Kempen,Kust & Westhoek,Groene Gordels,Linkerscheldeoever - Gedempt deel Doeldok,Duinbos-Wenduine,Linkerscheldeoever - Verrebroekse Plassen,Duinbossen van De Haan,Koninklijke Golfclub Oostende,Verrebroekse Plassen
watercrassula,"Het Blak, Kievitsheide, Ekstergoor en nabijgelegen Kamsalamanderhabitats","Vennen, heiden en moerassen rond Turnhout","Itterbeek met Brand, Jagersborg en Schootsheide en Bergerven",Schorren en polders van de Beneden-Schelde,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout","Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",Antwerpse Kempen,Taxandria,Zandig Vlaanderen,Linkerscheldeoever - Doelpolder Noord,Wortel Kolonie,Linkerscheldeoever - Haasop,Eksterheide en omgeving,Turnhouts Vennengebied,Wortel Kolonie
Amerikaanse nerts,Bossen en heiden van zandig Vlaanderen: oostelijk deel,Polders,"Bossen, heiden en valleigebieden van zandig Vlaanderen: westelijk deel",Poldercomplex,Durme en de middenloop van de Schelde,De Demervallei,Zandig Vlaanderen,Kust & Westhoek,Taxandria,Het Leen,Sterneneiland,Wullebos,Groot Molsbroek,Uitkerkse Polder,Onbevaarbare waterlopen 1e categorie
zwartbekgrondel,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",Uiterwaarden langs de Limburgse Maas en Vijverbroek,Durme en de middenloop van de Schelde,Schorren en polders van de Beneden-Schelde,De Ronde Put,Taxandria,Lage tot aan Hoge Kempen,Groene Gordels,Gemeentelijke visvijver,Op  t Stort,Linkerscheldeoever - Ketenisschor,Onbevaarbare waterlopen 1e categorie,De Maat,Dal van de Grensmaas
Canadese guldenroede,Demervallei,"Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden","Valleigebied tussen Melsbroek, Kampenhout, Kortenberg en Veltem","Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",De Dijlevallei,De Demervallei,Demerland & Zuiderkempen,Brabantse Wouden,Lage tot aan Hoge Kempen,Meerdaalwoud,Vallei van de Drie Beken,Silsombos,Doode Bemde,Dal van de Grensmaas,Haachtse Leibeekvallei
reuzenbalsemien,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,"Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden",Bos- en heidegebieden ten oosten van Antwerpen,Durme en de middenloop van de Schelde,De Demervallei,De Dijlevallei,Groene Gordels,Brabantse Wouden,Antwerpse Kempen,Dijlevallei,Demerbroeken,Zoerselbos,Onbevaarbare waterlopen 1e categorie,"Dijle-, Laan- en Ijsevallei",Zoerselbos
Chinese prachtslang,Bosbeekvallei en aangrenzende bos- en heidegebieden te As-Opglabbeek-Maaseik,-,-,-,-,-,-,-,-,-,-,-,Tommelen,Onbevaarbare waterlopen 1e categorie,Vallei van de Bosbeek
gevlekte Amerikaanse rivierkreeft,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden","Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor","Vennen, heiden en moerassen rond Turnhout",De Demervallei,De Ronde Put,Het Vijvercomplex van Midden-Limburg,Vlaamse Ardennen & Schelde-Leie,Taxandria,Groene Gordels,De Gavers,Vijvercomplex,Hazewinkel,Laakvalleien,Onbevaarbare waterlopen 1e categorie,Vijvercomplex Midden-Limburg
Amerikaanse stierkikker,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor","Vennen, heiden en moerassen rond Turnhout","Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden",De Demervallei,De Dijlevallei,Schorren en polders van de Beneden-Schelde,Taxandria,Demerland & Zuiderkempen,Brabantse Wouden,Zammelsbroek,Dijlevallei,Goorken,Laakvalleien,Griesbroek,Malesbroek
beverrat,Uiterwaarden langs de Limburgse Maas en Vijverbroek,Abeek met aangrenzende moerasgebieden,Jekervallei en bovenloop van de Demervallei,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",De Ronde Put,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",Demerland & Zuiderkempen,Hoge Kempen tot Voeren,Brabantse Wouden,Vosheide-Bocholt,Dijlevallei,Webbekoms en Diesters Broek,Dal van de Grensmaas,Sint-Maartensheide - De Luysen,Maasweerden
moerashyacint,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor","Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden",De Maten,Het Vijvercomplex van Midden-Limburg,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",De Maten,Taxandria,Demerland & Zuiderkempen,Groene Gordels,Vijvercomplex,Zammelsbroek,Teut-Ten Haagdoorn,Dommelvallei,Visbeekvallei,De Maten
valse wingerd,Duingebieden inclusief IJzermonding en Zwin,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden",Durme en de middenloop van de Schelde,Het Vijvercomplex van Midden-Limburg,De Demervallei,Kust & Westhoek,Hoge Kempen tot Voeren,Antwerpse Kempen,De Keignaart (stad),Geenemeer,Opglabekerzavel,Berlare Broek - Donkmeer,BHP06/41-512-5/262 - stad Genk,Stiemerbeekvallei
vijfbladige wingerd,"Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden",Duingebieden inclusief IJzermonding en Zwin,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden","Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof","Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",Het Vijvercomplex van Midden-Limburg,Brabantse Wouden,Hoge Kempen tot Voeren,Taxandria,MD Meerdaalbos,Hoge Mouw,Meerdaalwoud,UBBP/AN/11/06 - Kasterlee,Meerdaalwoud-Heverleebos,Fort van Walem
Afghaanse duizendknoop,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden","Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",Klein en Groot Schietveld,De Ronde Put,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",Westkust,Antwerpse Kempen,Groene Gordels,Taxandria,Averegten,MD Klein Schietveld,Vrieselhof,De Averegten,De Vennen,Vrieselhof
grote waterteunisbloem,Demervallei,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,De Demervallei,IJzervallei,Durme en de middenloop van de Schelde,Demerland & Zuiderkempen,Taxandria,Groene Gordels,Demerbroeken,Webbekoms en Diesters Broek,Verdronken Weide,De Blankaart,Onbevaarbare waterlopen 1e categorie,Schulensbroek
wasbeer,Bos- en heidegebieden ten oosten van Antwerpen,Demervallei,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",De Demervallei,Het Vijvercomplex van Midden-Limburg,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",Antwerpse Kempen,Demerland & Zuiderkempen,Brabantse Wouden,Vrieselhof,Vallei van de Drie Beken,Zonienwoud,Vrieselhof,Zoerselbos,Demerbroeken
gele maskerbloem,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,"Vallei- en brongebieden van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden",Durme en de middenloop van de Schelde,De Ronde Put,Militair domein en de vallei van de Zwarte Beek,Taxandria,Antwerpse Kempen,Vlaamse Ardennen & Schelde-Leie,De Most - Balen,Postels Natuurgebied - Deelgebied Watering NZ,Vijvercomplex,Berlare Broek - Donkmeer,Vallei van de Zwarte Beek,Onbevaarbare waterlopen 1e categorie
rode Amerikaanse rivierkreeft,Polders,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,Bossen en heiden van zandig Vlaanderen: oostelijk deel,Poldercomplex,Durme en de middenloop van de Schelde,Krekengebied,Kust & Westhoek,Groene Gordels,Demerland & Zuiderkempen,Domein Hofstade,Lage Moere van Meetkerke,Steenbergen,Stadswallen van Damme,Laakvalleien,Blankenbergse Polder Zuid
marmergrondel,"Hageven met Dommelvallei, Beverbeekse heide, Warmbeek en Wateringen","Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",Uiterwaarden langs de Limburgse Maas en Vijverbroek,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",De Ronde Put,-,Taxandria,Lage tot aan Hoge Kempen,-,Postelse Natuurgebieden - Deelgebied Kommiezenheide,Op  t Stort,Goorken,Postelse Reservaten,De Maat,Arendonk
kleine waterteunisbloem,Demervallei,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden",Historische fortengordels van Antwerpen als vleermuizenhabitats,Schorren en polders van de Beneden-Schelde,Het Vijvercomplex van Midden-Limburg,De Kuifeend en de Blokkersdijk,Antwerpse Kempen,Demerland & Zuiderkempen,-,Linkerscheldeoever - Drijdijck,Vallei van de Drie Beken,Vijvercomplex,GGS-Drijdijck en Spaans Fort,Bourgoyen-Ossemeersen,Blokkersdijk
egeria,"Vallei- en brongebieden van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden","Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden",Uiterwaarden langs de Limburgse Maas en Vijverbroek,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",-,-,Groene Gordels,Taxandria,Lage tot aan Hoge Kempen,De Reukens,Ginnekenshoek,Mullemer Bemden,UBBP/AN/12/10 - gemeentebossen Beerse,Dommelvallei,Dal van de Grensmaas
ongelijkbladig vederkruid,"Het Blak, Kievitsheide, Ekstergoor en nabijgelegen Kamsalamanderhabitats","Vennen, heiden en moerassen rond Turnhout",Klein en Groot Schietveld,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",-,-,Antwerpse Kempen,Taxandria,-,MD Klein Schietveld,Eksterheide en omgeving,Volharding,MD Klein Schietveld,Onbevaarbare waterlopen 1e categorie,Eksterheide en omgeving
Aziatische boomwurger,-,-,-,-,-,-,Taxandria,-,-,Overmaey,-,-,-,-,-
zijdeplant,Voerstreek,Demervallei,-,De Demervallei,-,-,Vlaamse Ardennen & Schelde-Leie,Taxandria,Antwerpse Kempen,Hospicegoed,Ossegoor,Hoge Rielen,Hospicebossen,UBBP/AN/11/06 - Kasterlee,Boyen-Veurzen
waterhyacint,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",Kalmthoutse Heide,"Vallei- en brongebieden van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden",Kalmthoutse Heide,Schorren en polders van de Beneden-Schelde,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",Taxandria,Antwerpse Kempen,-,Neerheyden,Ponfort,Olens Broek - Langendonk - Eig. ANB,UBBP/AN/11/05 - OCMW Herentals,Kasteelhoeve en Banmolen,Onbevaarbare waterlopen 1e categorie
watersla,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",Durme en de middenloop van de Schelde,De Demervallei,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",Taxandria,Groene Gordels,Antwerpse Kempen,Neerheyden,Ponfort,Breeven,UBBP/AN/11/05 - OCMW Herentals,Onbevaarbare waterlopen 1e categorie,Schupleer-Vuilvoort
gestreepte Amerikaanse rivierkreeft,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden","Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",Bos- en heidegebieden ten oosten van Antwerpen,Het Vijvercomplex van Midden-Limburg,Schorren en polders van de Beneden-Schelde,"De Maatjes, Wuustwezelheide en Groot Schietveld",Demerland & Zuiderkempen,Antwerpse Kempen,Taxandria,Vijvercomplex,Linkerscheldeoever - Spaans Fort,Molse Nete,Vijvercomplex Midden-Limburg,Wijvenheide,GGS-Drijdijck en Spaans Fort
Kaapse waterlelie,Demervallei,-,-,De Demervallei,Poldercomplex,-,Demerland & Zuiderkempen,-,-,Borchbeemden,Heesderheide,Mellaer,Vallei van de Zwarte Beek,Schulensbroek,Onbevaarbare waterlopen 1e categorie
Kesslergrondel,Uiterwaarden langs de Limburgse Maas en Vijverbroek,-,-,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",-,-,Lage tot aan Hoge Kempen,Groene Gordels,-,Op  t Stort,Lozerheide,Vallei van de Grote Nete - Regio NZ - Eig. ANB,Lozerheide,BHP97/41-512-5/67 - DE WATERING,Vallei van de Grote Nete Hullebrug-Herenbossen
grijze eekhoorn,-,-,-,-,-,-,Zandig Vlaanderen,-,-,Openbaar bos Lokeren: Verloren Bos,-,-,Bossen Stad Lokeren,Buylaers,-
Mantsjoerese wilde rijst,-,-,-,-,-,-,Zandig Vlaanderen,-,-,Moervaartvallei,-,-,Leiemeersen van Deinze,-,-
moerasaronskelk,Abeek met aangrenzende moerasgebieden,Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden",Bokrijk en omgeving,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",-,Groene Gordels,Brabantse Wouden,Lage tot aan Hoge Kempen,Plantentuin Meise,Provinciedomein Huizingen,Vrijbroekpark,Bos- en aanvullend landschapsbeheerplan Bokrijk,Teut-Tenhaagdoornheide-Kelchterhoef,UBBP/AN/10/08 - Nachtegalenpark
waterwaaier,Uiterwaarden langs de Limburgse Maas en Vijverbroek,"Itterbeek met Brand, Jagersborg en Schootsheide en Bergerven",Overgang Kempen-Haspengouw,-,-,-,Hoge Kempen tot Voeren,-,-,Wateringen,-,-,Jagersborg en de Wateringen,Dal van de Grensmaas,Bergerven
