soort,species,inN2KHAB,in1130,in1330,in2310,in2330,in3130,in3140,in3150,in3160,in4010,in4030,in6230,in6410,in6430,in6510,in7140,in9120,in9130,in9160,in9190,in91E0,in1140,in1310,in1320,in2110,in2120,in2130,in2150,in2160,in2170,in2180,in2190,in3260,in3270,in5130,in6120,in6210,in7110,in7150,in7210,in7230,in9110,in9150,in91F0,ofN2KHAB,of1130,of1330,of2310,of2330,of3130,of3140,of3150,of3160,of4010,of4030,of6230,of6410,of6430,of6510,of7140,of9120,of9130,of9160,of9190,of91E0,of1140,of1310,of1320,of2110,of2120,of2130,of2150,of2160,of2170,of2180,of2190,of3260,of3270,of5130,of6120,of6210,of7110,of7150,of7210,of7230,of9110,of9150,of91F0,selN2KHAB,sel1130,sel1330,sel2310,sel2330,sel3130,sel3140,sel3150,sel3160,sel4010,sel4030,sel6230,sel6410,sel6430,sel6510,sel7140,sel9120,sel9130,sel9160,sel9190,sel91E0,sel1140,sel1310,sel1320,sel2110,sel2120,sel2130,sel2150,sel2160,sel2170,sel2180,sel2190,sel3260,sel3270,sel5130,sel6120,sel6210,sel7110,sel7150,sel7210,sel7230,sel9110,sel9150,sel91F0
watercrassula,Crassula helmsii (Kirk) Cockayne,0.177811,0,0,0.001711,0.002589, 0.054666, 0.025301,0.002789,0.000273,0.005592,0.009024, 0.010394, 0.000869,0.000273,0.003059, 0.003136,0.020419,0.000317,0.000610,0.009170,0.012882,0,0,0,0,0.000247, 0.007013,0,0.002833,0.000016,0.001393, 0.002031,0.001203,0,0,0,0,0,0,0,0,0,0,0,0.008678,0,0,0.002039,0.006733, 0.118664, 0.097262,0.015727,0.003654,0.008864,0.005848, 0.040412, 0.037978,0.005769,0.004839, 0.031894,0.003225,0.000265,0.000485,0.006272,0.003399,0,0,0,0,0.002019, 0.029914,0,0.011983,0.001008,0.012630, 0.061600,0.011845,0,0,0,0,0,0,0,0,0,0,0,4.086251,0,0,0.959899,3.170377,55.876490,45.798906,7.405459,1.720634,4.174075,2.753800,19.029419,17.883277,2.716533,2.278760,15.018255,1.518676,0.124666,0.228418,2.953576,1.600409,0,0,0,0,0.950668,14.085792,0,5.642626,0.474767,5.947299,29.006102,5.577468,0,0,0,0,0,0,0,0,0,0,0
Canadese guldenroede,Solidago canadensis L.,0.100015,0,0,0.003450,0.000876,0,0,0,0,0.002380,0.005687,0.000438, 0.000813,0.000586,0.010725,0.000097,0.015153,0.000640,0.010262,0.002432,0.041976,0,0,0,0,0.000016,0.000181,0,0.001665, 0.000712,0.000912,0.000130,0,0,0,0,0,0,0.000173, 0.000070, 0.000642,0,0,0,0.004212,0,0,0.003359,0.001861,0,0,0,0,0.003084,0.003013,0.001393, 0.029050,0.010128,0.013869,0.000804,0.001956,0.000437,0.006671,0.001360,0.009053,0,0,0,0,0.000106,0.000631,0,0.005756, 0.036847,0.006762,0.003220,0,0,0,0,0,0,0.013761, 0.071216, 0.148532,0,0,0,2.426641,0,0,1.935329,1.072104,0,0,0,0,1.776494,1.735612,0.802652,16.735325,5.834359,7.989663,0.463121,1.126976,0.251621,3.842773,0.783360,5.214974,0,0,0,0,0.061268,0.363651,0,3.316167,21.226600,3.895605,1.855081,0,0,0,0,0,0,7.927199,41.026006,85.566550,0,0,0
reuzenbalsemien,Impatiens glandulifera Royle,0.110411,0,0,0.000029,0.000200,0,0,0,0,0.000140,0.000389,0.000322,0.000404, 0.001589,0.008822,0.000590,0.019177,0.003949,0.004001,0.002877,0.067674,0,0,0,0,0,0.000012,0,0.000002,0.000002,0.000106,0.000102,0,0,0,0,0,0,0.000007,0,0.000004,0.000013,0,0,0.045086,0,0,0.000277,0.004119,0,0,0,0,0.001759,0.001997,0.009914,0.139798, 0.266345,0.110606,0.047567,0.024005,0.026136,0.025217,0.015597,0.141502,0,0,0,0,0,0.000408,0,0.000082,0.001231,0.007601,0.024508,0,0,0,0,0,0,0.005277,0,0.008526,0.000816,0,0,2.678877,0,0,0.016473,0.244733,0,0,0,0,0.104540,0.118659,0.589033,8.306368,15.825384,6.571885,2.826268,1.426289,1.552900,1.498329,0.926705,8.407628,0,0,0,0,0,0.024237,0,0.004858,0.073147,0.451648,1.456202,0,0,0,0,0,0,0.313536,0,0.506582,0.048502,0,0
Chinese prachtslang,"Elaphe taeniura (Cope, 1861)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gevlekte Amerikaanse rivierkreeft,"Faxonius limosus Rafinesque, 1817", 0.120874,0,0,0,0, 0.040552, 0.048548, 0.008305,0,0.001295,0,0,0,0,0,0.000003,0,0,0,0,0.015667,0,0,0,0,0,0,0,0,0,0,0, 0.006006, 0.000498,0,0,0,0,0,0,0,0,0,0, 0.007318,0,0,0,0, 0.030113, 0.063843, 0.016019,0,0.000702,0,0,0,0,0,0.000010,0,0,0,0,0.001414,0,0,0,0,0,0,0,0,0,0,0, 0.020221, 0.021314,0,0,0,0,0,0,0,0,0,0,10.073247,0,0,0,0,41.450501,87.879636,22.050144,0,0.966961,0,0,0,0,0,0.013437,0,0,0,0,1.946379,0,0,0,0,0,0,0,0,0,0,0,27.833592,29.338047,0,0,0,0,0,0,0,0,0,0
blauwbandgrondel,"Pseudorasbora parva Temminck & Schlegel, 1846",0.057616,0.009502,0,0,0, 0.010017,0.001647,0.001980,0.000005,0.000823,0,0,0,0,0,0.000104,0,0,0,0,0.031601,0,0,0,0,0,0,0,0,0,0,0,0.001713, 0.000224,0,0,0,0,0,0,0,0,0,0,0.002707,0.001877,0,0,0, 0.008721,0.002539,0.004479,0.000026,0.000523,0,0,0,0,0,0.000426,0,0,0,0,0.003344,0,0,0,0,0,0,0,0,0,0,0,0.006764, 0.011229,0,0,0,0,0,0,0,0,0,0,3.177445,2.203499,0,0,0,10.238621,2.981086,5.257780,0.030648,0.614165,0,0,0,0,0,0.500023,0,0,0,0,3.926058,0,0,0,0,0,0,0,0,0,0,0,7.940348,13.182210,0,0,0,0,0,0,0,0,0,0
struikaster,Baccharis halimifolia L.,0.242260,0.023553, 0.005498,0.000054,0.003168,0,0,0,0,0,0,0,0,0,0.000058,0,0,0,0,0,0,0.011116, 0.003400,0,  0.007395,  0.053203,  0.050632,0,  0.067355,  0.010219, 0.002956, 0.003654,0,0,0,0,0,0,0,0,0,0,0,0,0.002086,0.002226, 0.012705,0.000012,0.001581,0,0,0,0,0,0,0,0,0,0.000018,0,0,0,0,0,0,0.002874, 0.030148,0,  0.146017,  0.083395,  0.041448,0,  0.054668,  0.124110, 0.005144, 0.021271,0,0,0,0,0,0,0,0,0,0,0,0,5.118734,5.462001,31.173941,0.030021,3.879327,0,0,0,0,0,0,0,0,0,0.043463,0,0,0,0,0,0,7.050680,73.971965,0,358.264711,204.617579,101.696265,0,134.132132,304.515221,12.621067,52.189744,0,0,0,0,0,0,0,0,0,0,0,0
zwartbekgrondel,"Neogobius melanostomus (Pallas, 1814)",0.078867, 0.047119,0.000087,0,0,0.001269, 0.010372,0.002072,0,0,0,0,0,0,0,0,0,0,0,0,0.006304,0,0,0,0,0,0,0,0,0,0,0, 0.010904, 0.00074,0,0,0,0,0,0,0,0,0,0,0.002198, 0.005523,0.000251,0,0,0.000655, 0.009490,0.002780,0,0,0,0,0,0,0,0,0,0,0,0,0.000396,0,0,0,0,0,0,0,0,0,0,0, 0.025542, 0.02205,0,0,0,0,0,0,0,0,0,0,4.349412,10.926842,0.495858,0,0,1.296811,18.775553,5.500194,0,0,0,0,0,0,0,0,0,0,0,0,0.783201,0,0,0,0,0,0,0,0,0,0,0,50.535389,43.62597,0,0,0,0,0,0,0,0,0,0
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",0.106314,0,0,0.000669, 0.008737,0.006368,0.001550,0.002869,0,0.000897,0.001066,0.001340, 0.002064,0.000914,0.002325, 0.003633,0.010321,0,0.001562,0.006143,0.054160,0,0,0,0,0,0,0,0,0,0,0,0.001697,0,0,0,0,0,0,0,0,0,0,0,0.001653,0,0,0.000254, 0.007239,0.004404,0.001899,0.005153,0,0.000453,0.000220,0.001660, 0.028731,0.006161,0.001172, 0.011770,0.000519,0,0.000396,0.001339,0.004553,0,0,0,0,0,0,0,0,0,0,0,0.005320,0,0,0,0,0,0,0,0,0,0,0,2.443186,0,0,0.375461,10.698380,6.508968,2.805896,7.616373,0,0.669624,0.325325,2.453663,42.461700,9.105619,1.731739,17.395107,0.767628,0,0.584803,1.978733,6.728668,0,0,0,0,0,0,0,0,0,0,0,7.863008,0,0,0,0,0,0,0,0,0,0,0
beverrat,"Myocastor coypus Molina, 1782",0.178580,0,0,0.005567,0, 0.051995,0,  0.050076,0,0.004740,0.000594,0.000203,0,0.000766,0.007995, 0.003586,0.006287,0,0.002894,0.009063,0.015586,0,0,0,0,0,0,0,0,0,0,0, 0.01804, 0.001093,0,0,0,0,0.000095,0,0,0,0,0,0.001132,0,0,0.000862,0, 0.014665,0,  0.036687,0,0.000976,0.000050,0.000103,0,0.002104,0.001644, 0.004739,0.000129,0,0.000299,0.000805,0.000534,0,0,0,0,0,0,0,0,0,0,0, 0.02307, 0.017787,0,0,0,0,0.001200,0,0,0,0,0,4.103917,0,0,3.123218,0,53.146245,0,132.952502,0,3.537979,0.181392,0.371919,0,7.625854,5.956000,17.173279,0.467568,0,1.083826,2.919061,1.936415,0,0,0,0,0,0,0,0,0,0,0,83.60640,64.459439,0,0,0,0,4.347396,0,0,0,0,0
moerashyacint,Pontederia cordata L.,0.084167,0,0,0,0, 0.021949,0, 0.006697,0.001002,0.000429,0,0,0,0,0,0.002042,0,0,0,0,0.051119,0,0,0,0,0,0,0,0,0,0,0.000086,0.000843,0,0,0,0,0,0,0,0,0,0,0,0.002797,0,0,0,0, 0.008947,0, 0.007092,0.002516,0.000128,0,0,0,0,0,0.003901,0,0,0,0,0.002533,0,0,0,0,0,0,0,0,0,0,0.000487,0.001557,0,0,0,0,0,0,0,0,0,0,0,7.014244,0,0,0,0,22.434925,0,17.781948,6.307815,0.320086,0,0,0,0,0,9.780487,0,0,0,0,6.350931,0,0,0,0,0,0,0,0,0,0,1.221256,3.904827,0,0,0,0,0,0,0,0,0,0,0
vijfbladige wingerd,Parthenocissus quinquefolia (L.) Planch.,0.056257,0,0,0.001754,0,0,0,0,0,0,0.003296,0.004238,0,0.000330,0.003815,0,0.009221,0,0,0.002283,0.007973,0,0,0,0, 0.005143,0.003678,0, 0.011658,0.000022,0.002188,0.000002,0,0,0,0,  0.000658,0,0,0,0,0,0,0,0.000352,0,0,0.000254,0,0,0,0,0,0,0.000260,0.002002,0,0.000849,0.000733,0,0.000177,0,0,0.000190,0.000256,0,0,0,0, 0.005103,0.001906,0, 0.005990,0.000166,0.002410,0.000006,0,0,0,0,  0.053109,0,0,0,0,0,0,0,1.364955,0,0,0.983814,0,0,0,0,0,0,1.005947,7.759117,0,3.291431,2.842044,0,0.685832,0,0,0.735365,0.990561,0,0,0,0,19.778288,7.386861,0,23.215483,0.642173,9.340326,0.022194,0,0,0,0,205.825959,0,0,0,0,0,0,0
valse wingerd,Parthenocissus inserta (A.Kern.) Fritsch,0.079286,0,0,0.003893,0.000172,0,0,0,0,0.001252,0.002677,0.001190,0,0,0.004895,0.000232,0.016566,0.001868,0.001025,0.006099,0.020169,0,0,0,0.000121, 0.007290,0.003606,0, 0.006815,0.000003,0.000827,0.000500,0,0,0,0, 0.000038,0,0.000050,0,0,0,0,0,0.001078,0,0,0.001224,0.000118,0,0,0,0,0.000524,0.000458,0.001220,0,0,0.002044,0.000622,0.000690,0.000412,0.000215,0.001101,0.001404,0,0,0,0.003280, 0.015711,0.004058,0, 0.007606,0.000052,0.001980,0.003999,0,0,0,0, 0.006586,0,0.001277,0,0,0,0,0,1.923693,0,0,2.184067,0.210082,0,0,0,0,0.934314,0.817041,2.177796,0,0,3.646774,1.110362,1.232138,0.734375,0.383725,1.964374,2.505708,0,0,0,5.853378,28.037102,7.242217,0,13.572370,0.092252,3.533067,7.135883,0,0,0,0,11.752393,0,2.279260,0,0,0,0,0
Afghaanse duizendknoop,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,0.144657,0,0,0.015173,0.000000,0,0,0,0,0,0,0.000912,0,0,0,0,0.071180,0.011055,0,0.025870,0.019144,0,0,0,0,0,0.000054,0,0,0,0.001268,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000341,0,0,0.000827,0.000000,0,0,0,0,0,0,0.000162,0,0,0,0,0.000514,0.000422,0,0.000809,0.000231,0,0,0,0,0,0.000011,0,0,0,0.000526,0,0,0,0,0,0,0,0,0,0,0,0,0,3.509786,0,0,8.511879,0.000536,0,0,0,0,0,0,1.670321,0,0,0,0,5.294013,4.347127,0,8.332635,2.378454,0,0,0,0,0,0.109418,0,0,0,5.413010,0,0,0,0,0,0,0,0,0,0,0,0,0
grote waterteunisbloem,Ludwigia grandiflora (Michx.) Greuter & Burdet,0.046567,0,0,0,0,0.009038, 0.011838, 0.004118,0.000349,0.001636,0,0,0,0,0,0.000186,0,0,0,0,0.015580,0,0,0,0,0,0,0,0,0,0,0, 0.003819,0.000002,0,0,0,0,0,0,0,0,0,0,0.008681,0,0,0,0,0.020666, 0.047936, 0.024460,0.004919,0.002731,0,0,0,0,0,0.001996,0,0,0,0,0.004330,0,0,0,0,0,0,0,0,0,0,0, 0.039589,0.000301,0,0,0,0,0,0,0,0,0,0,3.880736,0,0,0,0,9.238396,21.428403,10.934086,2.199065,1.220821,0,0,0,0,0,0.892230,0,0,0,0,1.935645,0,0,0,0,0,0,0,0,0,0,0,17.697447,0.134415,0,0,0,0,0,0,0,0,0,0
wasbeer,"Procyon lotor L., 1758",0.210381,0,0,0,0,0,0,0,0,0.001431,0.002608,0.000350,0.000079,0.000994,0.007196,0.000159,0.066361,0.005996,0.021576,0.009905, 0.093505,0,0,0,0,0,0,0,0.000221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001675,0,0,0,0,0,0,0,0,0.000350,0.000261,0.000210,0.000530,0.003249,0.001759,0.000250,0.001619,0.000774,0.002651,0.001047, 0.003811,0,0,0,0,0,0,0,0.000144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.104410,0,0,0,0,0,0,0,0,1.067970,0.795997,0.640622,1.616860,9.902274,5.360871,0.763346,4.935627,2.357790,8.079207,3.190241,11.616835,0,0,0,0,0,0,0,0.439461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gele maskerbloem,Erythranthe guttata (DC.) G.L.Nesom,0.082086,0,0,0,0.000272,0,0,0,0,0.000445,0.001064,0.000599, 0.001358, 0.004118,0.003570, 0.009963,0.011827,0.004741,0.001615,0.002979,0.035482,0,0,0,0,0,0.000943,0,0.000043,0, 0.002741,0.000081,0,0,0,0,0,0,0,0,0,0.000247,0,0,0.000838,0,0,0,0.000140,0,0,0,0,0.000140,0.000137,0.000461, 0.011754, 0.017258,0.001119, 0.020073,0.000370,0.000784,0.000255,0.000404,0.001855,0,0,0,0,0,0.000797,0,0.000036,0, 0.004925,0.000487,0,0,0,0,0,0,0,0,0,0.000385,0,0,1.991639,0,0,0,0.333332,0,0,0,0,0.332001,0.324593,1.096056,27.935325,41.015330,2.659358,47.707201,0.879632,1.864319,0.604915,0.959649,4.408137,0,0,0,0,0,1.893516,0,0.085218,0,11.704455,1.157552,0,0,0,0,0,0,0,0,0,0.914257,0,0
rode Amerikaanse rivierkreeft,"Procambarus clarkii Girard, 1852",0.034317,0.002128, 0.002781,0,0,0.000392,0.000963, 0.005964,0,0,0,0,0,0,0,0,0,0,0,0,0.020513,0, 0.000670,0,0,0,0,0,0,0,0,0.000047,0.000859,0,0,0,0,0,0,0,0,0,0,0,0.001792,0.000467, 0.014930,0,0,0.000379,0.001651, 0.014994,0,0,0,0,0,0,0,0,0,0,0,0,0.002413,0, 0.013802,0,0,0,0,0,0,0,0,0.000635,0.003768,0,0,0,0,0,0,0,0,0,0,0,1.892536,0.493495,15.767297,0,0,0.400667,1.743284,15.835058,0,0,0,0,0,0,0,0,0,0,0,0,2.548522,0,14.576424,0,0,0,0,0,0,0,0,0.670781,3.979760,0,0,0,0,0,0,0,0,0,0,0
marmergrondel,"Proterorhinus semilunaris (Heckel, 1837)",0.131324,0.004030,0,0,0, 0.033266, 0.022330, 0.014412,0,0,0,0,0,0,0,0,0,0,0,0,0.008533,0,0,0,0,0,0,0,0,0,0,0,  0.044461,  0.004291,0,0,0,0,0,0,0,0,0,0,0.000610,0.000079,0,0,0, 0.002864, 0.003405, 0.003223,0,0,0,0,0,0,0,0,0,0,0,0,0.000089,0,0,0,0,0,0,0,0,0,0,0,  0.017358,  0.021314,0,0,0,0,0,0,0,0,0,0,7.242346,0.934646,0,0,0,34.003002,40.421244,38.265200,0,0,0,0,0,0,0,0,0,0,0,0,1.060066,0,0,0,0,0,0,0,0,0,0,0,206.054230,253.014030,0,0,0,0,0,0,0,0,0,0
kleine waterteunisbloem,Ludwigia peploides (Kunth) P.H. Raven, 0.274904,0,0,0,0,0.004592,  0.266968,0.001790,0,0,0,0,0,0,0,0.001554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.001688,0,0,0,0,0.000346,  0.035603,0.000350,0,0,0,0,0,0,0,0.000548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.909663,0,0,0,0,4.693931,483.252166,4.752034,0,0,0,0,0,0,0,7.443442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
egeria,Elodea densa (Planch.) Casp.,0.039283,0,0,0,0, 0.028969,0,0.001135,0,0,0,0,0,0,0, 0.005348,0,0,0,0,0.003831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000099,0,0,0,0, 0.001355,0,0.000138,0,0,0,0,0,0,0, 0.001172,0,0,0,0,0.000022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.166415,0,0,0,0,29.611091,0,3.012903,0,0,0,0,0,0,0,25.609802,0,0,0,0,0.475957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ongelijkbladig vederkruid,Myriophyllum heterophyllum Michaux,0.081873,0,0,0,0, 0.058696,0,0,0,0.004328,0,0,0,0,0,0,0,0,0,0,0.014885,0,0,0,0,0,0,0,0,0,0,0, 0.003964,0,0,0,0,0,0,0,0,0,0,0,0.000932,0,0,0,0, 0.008194,0,0,0,0.000441,0,0,0,0,0,0,0,0,0,0,0.000253,0,0,0,0,0,0,0,0,0,0,0, 0.002509,0,0,0,0,0,0,0,0,0,0,0,6.823036,0,0,0,0,59.995798,0,0,0,3.230441,0,0,0,0,0,0,0,0,0,0,1.849264,0,0,0,0,0,0,0,0,0,0,0,18.373227,0,0,0,0,0,0,0,0,0,0,0
Aziatische boomwurger,Celastrus orbiculatus Thunb.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zijdeplant,Asclepias syriaca L.,0.010705,0,0,0,0,0,0,0,0,0,0,0.000475,0,0,0.000132,0,0,0,0.000023,0.009616,0.000459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000021,0,0,0,0,0,0,0,0,0,0,0.000070,0,0,0.000008,0,0,0,0.000001,0.000250,0.000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259730,0,0,0,0,0,0,0,0,0,0,0.870304,0,0,0.098040,0,0,0,0.008535,3.097400,0.056982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waterhyacint,Eichhornia crassipes (Martius) Solms, 0.207119,0,0,0,0, 0.023225,0,0,  0.023225,0,0,0,0,0,0,0,0,0,0,0, 0.106599,0,0,0,0,0,0,0,0,0,0,0,  0.054069,0,0,0,0,0,0,0,0,0,0,0, 0.000434,0,0,0,0, 0.000597,0,0,  0.003674,0,0,0,0,0,0,0,0,0,0,0, 0.000333,0,0,0,0,0,0,0,0,0,0,0,  0.006299,0,0,0,0,0,0,0,0,0,0,0,17.260650,0,0,0,0,23.739636,0,0,146.148472,0,0,0,0,0,0,0,0,0,0,0,13.243626,0,0,0,0,0,0,0,0,0,0,0,250.581594,0,0,0,0,0,0,0,0,0,0,0
watersla,Pistia stratiotes L.,0.070060,0,0,0,0,0,0, 0.006265,0,0,0,0,0,0,0,0.000366,0,0,0,0,0.032946,0,0,0,0,0,0,0,0,0,0,0,  0.030483,0,0,0,0,0,0,0,0,0,0,0,0.000541,0,0,0,0,0,0, 0.001542,0,0,0,0,0,0,0,0.000162,0,0,0,0,0.000379,0,0,0,0,0,0,0,0,0,0,0,  0.013095,0,0,0,0,0,0,0,0,0,0,0,5.838625,0,0,0,0,0,0,16.634802,0,0,0,0,0,0,0,1.752662,0,0,0,0,4.093125,0,0,0,0,0,0,0,0,0,0,0,141.272891,0,0,0,0,0,0,0,0,0,0,0
Californische rivierkreeft,"Pacifastacus leniusculus Dana, 1852",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gestreepte Amerikaanse rivierkreeft,"Procambarus acutus (Girard, 1852)",0.070619,0,0,0,0, 0.050876,0,0.000589,0,0,0,0,0,0,0,0,0,0,0,0,0.019124,0,0,0,0,0,0,0,0,0,0,0,0.000029,0,0,0,0,0,0,0,0,0,0,0,0.000871,0,0,0,0, 0.007700,0,0.000232,0,0,0,0,0,0,0,0,0,0,0,0,0.000352,0,0,0,0,0,0,0,0,0,0,0,0.000020,0,0,0,0,0,0,0,0,0,0,0,5.885144,0,0,0,0,52.002690,0,1.564178,0,0,0,0,0,0,0,0,0,0,0,0,2.375961,0,0,0,0,0,0,0,0,0,0,0,0.136176,0,0,0,0,0,0,0,0,0,0,0
Kaapse waterlelie,Aponogeton distachyos L.f.,0.049285,0,0,0,0, 0.024370,0,0.000298,0,0,0,0,0,0,0,0.001635,0,0,0,0,0.022982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000525,0,0,0,0, 0.003182,0,0.000101,0,0,0,0,0,0,0,0.001000,0,0,0,0,0.000365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.107224,0,0,0,0,24.909783,0,0.790518,0,0,0,0,0,0,0,7.829687,0,0,0,0,2.855195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grijze eekhoorn,"Sciurus carolinensis Gmelin, 1788",0.110622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.110622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.000256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.683986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.743347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mantsjoerese wilde rijst,Zizania latifolia (Griseb.) Hance ex F.Muell.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pallas' eekhoorn,"Callosciurus erythraeus Pallas, 1779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moerasaronskelk,Lysichiton americanus Hultén & H. St. John,0.112624,0,0,0,0,0.004053,0.000839,0,0.001384,0.000000,0.002873,0,0,0.000003,0,0.001670,0.024393, 0.030599,0.002255,0,0.043835,0,0,0,0,0,0,0,0,0,0,0,0.000721,0,0,0,0,0,0,0,0,0,0,0,0.000307,0,0,0,0,0.000492,0.000180,0,0.001034,0.000000,0.000104,0,0,0.000003,0,0.000949,0.000215, 0.001429,0.000100,0,0.000647,0,0,0,0,0,0,0,0,0,0,0,0.000397,0,0,0,0,0,0,0,0,0,0,0,2.588182,0,0,0,0,4.142425,1.517930,0,8.707697,0.000262,0.876704,0,0,0.026571,0,7.995058,1.814262,12.032020,0.844326,0,5.445903,0,0,0,0,0,0,0,0,0,0,0,3.340919,0,0,0,0,0,0,0,0,0,0,0
waterwaaier,Cabomba caroliniana Gray,0.076077,0,0,0,0,0, 0.012523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022178,0,0,0,0,0,0,0,0,0,0,0,  0.041376,0,0,0,0,0,0,0,0,0,0,0,0.000145,0,0,0,0,0, 0.000520,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000063,0,0,0,0,0,0,0,0,0,0,0,  0.004399,0,0,0,0,0,0,0,0,0,0,0,6.340010,0,0,0,0,0,22.669315,0,0,0,0,0,0,0,0,0,0,0,0,0,2.755314,0,0,0,0,0,0,0,0,0,0,0,191.753945,0,0,0,0,0,0,0,0,0,0,0
