Soort,inN2KHAB,in1130,in1330,in2310,in2330,in3130,in3140,in3150,in3160,in4010,in4030,in6230,in6410,in6430,in6510,in7140,in7150,in9120,in9130,in9160,in9190,in91E0,in1140,in1310,in1320,in2110,in2120,in2130,in2160,in2170,in2180,in2190,in3110,in3260,in3270,in5130,in6120,in6210,in7110,in7210,in7220,in7230,in9110,in9150,ofN2KHAB,of1130,of1330,of2310,of2330,of3130,of3140,of3150,of3160,of4010,of4030,of6230,of6410,of6430,of6510,of7140,of7150,of9120,of9130,of9160,of9190,of91E0,of1140,of1310,of1320,of2110,of2120,of2130,of2160,of2170,of2180,of2190,of3110,of3260,of3270,of5130,of6120,of6210,of7110,of7210,of7220,of7230,of9110,of9150
parelvederkruid,0.171503,0.002162,0,0.001527,0.001366,0.015884,0,0.002086,0.001175,0.002671,0.007259,0.005585,0.000879,0.003103,0.009902,0.006198,0,0.025443,0.006536,0.002550,0.014668,0.058805,0,0,0,0,0,0,0,0,0,0,0,0.002915,0,0,0,0,0,0,0.000789,0,0,0,0.002473,0.000496,0,0.000614,0.000903,0.012154,0,0.003331,0.005846,0.001435,0.001669,0.004024,0.004843,0.002825,0.002846,0.011200,0,0.001546,0.001978,0.000672,0.002940,0.005347,0,0,0,0,0,0,0,0,0,0,0,0.013227,0,0,0,0,0,0,0.005482,0,0,0
late guldenroede,0.123214,0.007200,0.000054,0.001909,0.001966,0.004299,0.002464,0.003162,0.000413,0.002301,0.006832,0.003466,0.001588,0.005648,0.014025,0.001668,0.000286,0.017535,0.002282,0.005188,0.004728,0.025980,0,0,0,0,0.000464,0.001822,0.001314,0.000280,0.001248,0.000616,0,0.002149,0.001269,0.000012,0.000319,0.000069,0,0.000012,0.000214,0.000338,0.000096,0,0.013674,0.012713,0.001604,0.005911,0.009998,0.025315,0.028463,0.038857,0.015823,0.009517,0.012091,0.019222,0.067288,0.039574,0.031028,0.023193,0.012258,0.008202,0.005314,0.010526,0.007293,0.018182,0,0,0,0,0.007341,0.014994,0.013704,0.013961,0.030141,0.050510,0,0.075047,0.109002,0.003639,0.112222,0.036791,0,0.024832,0.011458,0.173748,0.002273,0
smalle waterpest,0.321032,0.001726,0.000405,0.001567,0.006683,0.062848,0.060890,0.034241,0.000018,0.001210,0.007444,0.002606,0.002265,0.004923,0.019044,0.013374,0.000062,0.015651,0.002079,0.004074,0.011819,0.050877,0,0,0,0,0,0,0,0,0,0,0,0.010482,0.004984,0,0.000677,0,0,0,0.001083,0,0,0,0.005451,0.000466,0.001831,0.000742,0.005200,0.056625,0.107612,0.064384,0.000107,0.000766,0.002015,0.002211,0.014687,0.005277,0.006446,0.028457,0.000408,0.001120,0.000741,0.001264,0.002789,0.005447,0,0,0,0,0,0,0,0,0,0,0,0.055996,0.065500,0,0.036451,0,0,0,0.008860,0,0,0
mahonie,0.192350,0.004119,0.000068,0.001361,0.003619,0.001149,0.001433,0.001082,0,0.000212,0.002355,0.001547,0.000300,0.001240,0.004956,0.000338,0.000039,0.016732,0.002404,0.002893,0.004072,0.006639,0,0,0,0.000001,0.022817,0.038452,0.048431,0.012069,0.012289,0.001336,0,0.000093,0,0,0,0,0,0,0.000301,0.000005,0,0,0.014757,0.005028,0.001399,0.002913,0.012724,0.004677,0.011443,0.009197,0,0.000607,0.002881,0.005929,0.008777,0.006005,0.007580,0.003248,0.001140,0.005410,0.003870,0.004058,0.004342,0.003212,0,0,0,0.000207,0.249320,0.218797,0.349284,0.416613,0.205148,0.075740,0,0.002238,0,0,0,0,0,0,0.011131,0.001822,0,0
grote waternavel,0.083871,0.009208,0.000337,0,0.000414,0.001676,0,0.002439,0,0.001081,0.001616,0.000994,0,0.003505,0.015905,0.001395,0.000018,0.004327,0.001116,0.000609,0.000643,0.03094,0,0,0,0,0.001039,0.000092,0.000775,0.000768,0,0.000067,0,0.001485,0.002671,0,0,0,0,0,0.000752,0,0,0,0.002197,0.003837,0.002349,0,0.000497,0.002330,0,0.007075,0,0.001056,0.000675,0.001300,0,0.005796,0.008305,0.004580,0.000179,0.000478,0.000613,0.000291,0.000234,0.00511,0,0,0,0,0.003877,0.000179,0.001908,0.009047,0,0.001305,0,0.012239,0.054140,0,0,0,0,0,0.009490,0,0,0
Chinese muntjak,0.175097,0,0,0.001703,0,0,0,0,0.000686,0.002718,0.003293,0.001191,0,0,0.003219,0,0,0.108620,0.006784,0.000941,0.035641,0.009237,0,0,0,0,0.000023,0.000784,0.000023,0,0,0,0,0.000233,0,0,0,0,0,0,0,0,0,0,0.001118,0,0,0.000303,0,0,0,0,0.001512,0.000647,0.000335,0.000380,0,0,0.000410,0,0,0.002922,0.000909,0.000110,0.003162,0.000372,0,0,0,0,0.000021,0.000371,0.000014,0,0,0,0,0.000468,0,0,0,0,0,0,0,0,0,0
Japans hoefblad,0.121575,0.000162,0,0,0,0,0,0,0,0,0,0,0,0.004318,0.003058,0,0,0.061562,0.025083,0,0.005649,0.021400,0,0,0,0,0,0,0,0,0,0,0,0.000343,0,0,0,0,0,0,0,0,0,0,0.000401,0.000009,0,0,0,0,0,0,0,0,0,0,0,0.000900,0.000201,0,0,0.000857,0.001738,0,0.000259,0.000445,0,0,0,0,0,0,0,0,0,0,0,0.000356,0,0,0,0,0,0,0,0,0,0
hemelboom,0.071267,0.003549,0.000005,0.000154,0.001351,0,0,0.000249,0,0,0.001633,0.000477,0,0.000293,0.007425,0,0,0.015696,0.001948,0.002957,0.000120,0.004748,0,0,0,0,0.001812,0.008423,0.008777,0.000635,0.005443,0.000218,0,0.003904,0.000885,0,0.000567,0,0,0,0,0,0,0,0.002049,0.001623,0.000038,0.000123,0.001779,0,0,0.000794,0,0,0.000749,0.000685,0,0.000531,0.004255,0,0,0.001902,0.001175,0.001554,0.000048,0.000861,0,0,0,0,0.007417,0.017960,0.023719,0.008213,0.034049,0.004634,0,0.035314,0.019690,0,0.051708,0,0,0,0,0,0,0
Amerikaanse hondsvis,0.358694,0,0,0.010381,0.018951,0.044197,0,0.024966,0.011003,0.028758,0.022595,0.010614,0.002101,0,0.009438,0.059493,0,0.012144,0,0.00265,0.010425,0.080454,0,0,0,0,0,0,0,0,0,0,0,0.003097,0,0,0,0,0.007428,0,0,0,0,0,0.000595,0,0,0.000481,0.001441,0.003891,0,0.004588,0.006299,0.001779,0.000598,0.000880,0.001331,0,0.000312,0.012371,0,0.000085,0,0.00008,0.000240,0.000842,0,0,0,0,0,0,0,0,0,0,0,0.001617,0,0,0,0,0.850398,0,0,0,0,0
Chinese wolhandkrab,0.191687,0.079378,0.001059,0.000232,0,0.005630,0.004745,0.002540,0,0.000224,0.000207,0.001744,0.001420,0.004802,0.022762,0.002354,0.000208,0.009279,0.000804,0.003592,0.001079,0.033891,0.012628,0.000232,0.000323,0.000243,0.000472,0.00003,0.000030,0,0,0,0,0.001489,0.000101,0,0.000191,0,0,0,0,0,0,0,0.004326,0.028505,0.006369,0.000146,0,0.006743,0.011147,0.006348,0,0.000188,0.000075,0.001967,0.012242,0.006842,0.010241,0.006659,0.001816,0.000883,0.000381,0.001482,0.000339,0.004824,0.012454,0.005185,0.030503,0.018107,0.001516,0.00005,0.000063,0,0,0,0,0.010574,0.001770,0,0.013657,0,0,0,0,0,0,0
invasieve duizendknopen,0.119405,0.019337,0.000118,0.001278,0.001596,0.001773,0.001061,0.001381,0.000117,0.000697,0.002495,0.001910,0.000384,0.003444,0.014177,0.000401,0.000017,0.021338,0.004555,0.00544,0.005575,0.027529,0.000026,0.000036,0.000028,0,0.000090,0.000684,0.000189,0.000021,0.000504,0.000066,0,0.002051,0.000391,0.000039,0.000212,0,0,0,0.000349,0.000096,0,0,0.032475,0.083676,0.008558,0.009697,0.019897,0.025585,0.030050,0.041583,0.010970,0.007070,0.010821,0.025954,0.039854,0.059134,0.076867,0.013651,0.001753,0.024459,0.025999,0.02705,0.021076,0.047214,0.000311,0.009611,0.031924,0,0.003469,0.013795,0.004827,0.002610,0.029850,0.013365,0,0.175510,0.082374,0.029753,0.182639,0,0,0,0.045690,0.120985,0,0
Siberische grondeekhoorn,0.723621,0,0,0,0,0,0,0.001748,0,0,0.001077,0,0,0,0.007421,0,0,0.438772,0.005075,0.101918,0.003808,0.011548,0,0,0,0,0.003543,0.013096,0.011656,0,0.123245,0.000712,0,0,0,0,0,0,0,0,0,0,0,0,0.001962,0,0,0,0,0,0,0.000525,0,0,0.000047,0,0,0,0.000401,0,0,0.005013,0.000289,0.005051,0.000143,0.000197,0,0,0,0,0.001368,0.002633,0.002970,0,0.072693,0.001427,0,0,0,0,0,0,0,0,0,0,0,0
boksdoorn,0.471385,0.010424,0.002921,0.000014,0,0,0,0,0,0,0,0,0,0,0.007525,0,0,0.001016,0.000865,0,0,0.000597,0.014431,0.005474,0.005246,0.003522,0.133614,0.150151,0.093932,0.010288,0.023202,0.008165,0,0,0,0,0,0,0,0,0,0,0,0,0.005099,0.001794,0.008418,0.000004,0,0,0,0,0,0,0,0,0,0,0.001623,0,0,0.000046,0.000196,0,0,0.000041,0.006820,0.058551,0.237573,0.125903,0.205828,0.120449,0.095504,0.050067,0.054605,0.065262,0,0,0,0,0,0,0,0,0,0,0,0
muskusrat,0.054740,0.000585,0.000696,0.000421,0.000141,0.001451,0.000597,0.003593,0.000060,0.000278,0.000267,0.000222,0.000421,0.004373,0.017343,0.001282,0.000038,0.002558,0.001011,0.000758,0.000359,0.017166,0,0.000063,0,0,0.000032,0.000380,0,0,0,0.000026,0,0.000321,0,0,0,0,0,0,0.000293,0.000003,0,0,0.008705,0.001481,0.029475,0.001868,0.001029,0.012242,0.009889,0.063278,0.003289,0.001646,0.000678,0.001762,0.025593,0.043903,0.054978,0.025552,0.002324,0.001714,0.003375,0.002205,0.000792,0.017214,0,0.009855,0,0,0.000736,0.004478,0,0,0,0.003084,0,0.016038,0,0,0,0,0,0,0.022493,0.001929,0,0
lettersierschildpad,0.206064,0.008348,0.000057,0.000692,0.001669,0.018031,0.009456,0.011747,0.003692,0.003402,0.004822,0.001693,0.000335,0.003518,0.014811,0.001662,0.000125,0.046409,0.012740,0.011703,0.004549,0.03837,0,0,0,0,0.000063,0.000882,0.000307,0,0.001023,0.000291,0,0.000265,0.000606,0,0,0,0,0.000362,0.004431,0,0,0,0.007120,0.004589,0.000521,0.000667,0.002643,0.033060,0.034008,0.044950,0.044020,0.004381,0.002657,0.002922,0.004424,0.007675,0.010202,0.007198,0.001667,0.006758,0.009238,0.007393,0.002185,0.00836,0,0,0,0,0.000308,0.002260,0.000997,0,0.007691,0.007437,0,0.002883,0.016204,0,0,0,0,0.227204,0.073795,0,0,0
smalle olijfwilg,0.254252,0.033067,0.003538,0.004234,0.004112,0,0.006661,0,0,0,0,0,0,0.000610,0.016059,0,0,0.003328,0.000808,0,0,0,0.001679,0,0.000099,0.001359,0.065551,0.062381,0.031409,0.002579,0.011294,0.004380,0,0,0,0,0,0.000296,0,0,0.000808,0,0,0,0.002150,0.004448,0.007970,0.000999,0.001593,0,0.005862,0,0,0,0,0,0,0.000326,0.002707,0,0,0.000119,0.000143,0,0,0,0.000620,0,0.003497,0.037974,0.078930,0.039115,0.024961,0.009810,0.020776,0.027368,0,0,0,0,0,0.012119,0,0,0.003292,0,0,0
watercrassula,0.274080,0.005814,0.002759,0.001887,0.005094,0.062365,0.033432,0.004131,0.000275,0.013636,0.016576,0.021092,0.004199,0.000640,0.007966,0.006044,0.004934,0.023623,0.001663,0.000776,0.013112,0.016658,0.000069,0.000529,0,0,0.000288,0.009556,0.004306,0.000025,0.001529,0.003332,0.000681,0.001008,0.004637,0,0,0,0,0,0.001444,0,0,0,0.007697,0.002598,0.020646,0.001479,0.006556,0.092930,0.097718,0.012846,0.002661,0.014272,0.007422,0.029594,0.045029,0.001135,0.004459,0.021268,0.053485,0.002796,0.000980,0.000398,0.005118,0.002950,0.000084,0.014700,0,0,0.001152,0.019903,0.011367,0.000312,0.009341,0.069139,0.191636,0.008910,0.100787,0,0,0,0,0,0.019539,0,0,0
Amerikaanse nerts,0.128193,0.005381,0.003396,0,0,0,0.032613,0.009798,0,0,0,0.006896,0,0.002124,0.017539,0.000295,0,0.029047,0,0,0,0.021102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000140,0.000094,0.000991,0,0,0,0.003717,0.001188,0,0,0,0.000377,0,0.000147,0.000383,0.000040,0,0.000134,0,0,0,0.000146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canadese guldenroede,0.161629,0.000963,0.000299,0.004176,0.001773,0.001695,0.003099,0.001336,0.001189,0.004698,0.008180,0.001515,0.001867,0.004547,0.020703,0.000791,0.000673,0.018248,0.001163,0.015189,0.004138,0.054792,0,0,0,0,0.000784,0.002159,0.002606,0.000766,0.000982,0.000140,0,0.001069,0.000318,0,0.000035,0,0,0.000075,0,0.001660,0,0,0.003784,0.000359,0.001864,0.002728,0.001902,0.002105,0.007553,0.003465,0.009610,0.004100,0.003054,0.001773,0.016699,0.006721,0.009663,0.002321,0.006081,0.001801,0.000572,0.006502,0.001347,0.008090,0,0,0,0,0.002613,0.003750,0.005736,0.008074,0.005001,0.002418,0,0.007873,0.005755,0,0.002573,0,0,0.031801,0,0.179907,0,0
reuzenbalsemien,0.205456,0.035671,0.000100,0.000171,0.000330,0.002721,0.002089,0.002681,0.000034,0.000397,0.001336,0.000837,0.001223,0.009916,0.018140,0.001442,0.000026,0.023997,0.005799,0.007729,0.004534,0.084218,0,0.000014,0,0,0,0.000014,0.000003,0.000003,0.000119,0.000115,0,0.001053,0.000209,0.000041,0,0,0,0,0.000445,0.000007,0.000043,0,0.044585,0.123159,0.005783,0.001033,0.003286,0.031329,0.047184,0.064441,0.002576,0.003209,0.004623,0.009077,0.101339,0.135846,0.078474,0.039211,0.002160,0.021947,0.026406,0.030661,0.013676,0.115244,0,0.003045,0,0,0,0.000219,0.000056,0.000270,0.005622,0.018407,0,0.071869,0.035165,0.025459,0,0,0,0,0.046572,0.006925,0.002005,0
Chinese prachtslang,0.019162,0,0,0,0,0.014130,0,0,0,0,0,0,0,0.003578,0.000662,0,0,0.000792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000023,0,0,0,0,0.000883,0,0,0,0,0,0,0,0.000266,0.000016,0,0,0.000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gevlekte Amerikaanse rivierkreeft,0.305208,0.00748,0,0.00502,0.003129,0.057710,0.06671,0.041350,0,0.001718,0.006458,0.001259,0.001093,0.003486,0.016982,0.015326,0,0.014300,0.000987,0.002342,0.012137,0.035631,0,0,0,0,0,0,0,0,0,0,0,0.007211,0.004179,0,0.000638,0,0,0.000063,0,0,0,0,0.002309,0.00090,0,0.00106,0.001085,0.023167,0.05253,0.034643,0,0.000484,0.000779,0.000476,0.003157,0.001665,0.002561,0.014530,0,0.000456,0.000157,0.000324,0.001276,0.001700,0,0,0,0,0,0,0,0,0,0,0,0.017163,0.024466,0,0.015311,0,0,0.008636,0,0,0,0
blauwbandgrondel,0.149008,0.009763,0.000369,0,0,0.022153,0.001755,0.005974,0.000007,0.001304,0.001323,0.002122,0.000332,0.000917,0.013744,0.006269,0,0.015377,0,0.001365,0.006060,0.056329,0,0,0,0,0,0,0,0,0,0,0,0.002058,0.001787,0,0,0,0,0,0,0,0,0,0.001230,0.001282,0.000812,0,0,0.009701,0.001508,0.005460,0.000021,0.000401,0.000174,0.000875,0.001046,0.000478,0.002261,0.006484,0,0.000535,0,0.000206,0.000695,0.002931,0,0,0,0,0,0,0,0,0,0,0,0.005344,0.011414,0,0,0,0,0,0,0,0,0
struikaster,0.448926,0.025265,0.005952,0.000088,0.004088,0.008296,0.008296,0.008296,0,0,0,0,0,0,0.008741,0.008296,0,0,0,0,0,0,0.011718,0.004346,0.000665,0.008006,0.093656,0.103415,0.110149,0.030013,0.005643,0.003998,0,0,0,0,0,0,0,0,0,0,0,0,0.002453,0.002196,0.008667,0.000013,0.001024,0.002405,0.004718,0.005020,0,0,0,0,0,0,0.000952,0.005681,0,0,0,0,0,0,0.002798,0.023481,0.015222,0.144591,0.072884,0.041908,0.056576,0.073783,0.006709,0.016144,0,0,0,0,0,0,0,0,0,0,0,0
zwartbekgrondel,0.161475,0.047715,0.000103,0,0.000510,0.009542,0.011471,0.011654,0,0,0.000015,0.000013,0.000013,0.004300,0.021459,0.009216,0,0.008424,0,0.000038,0.005120,0.015372,0,0,0,0,0,0,0,0,0,0,0,0.012572,0.003163,0,0.000775,0,0,0,0,0,0,0,0.001007,0.004732,0.000171,0,0.000146,0.003156,0.007443,0.008045,0,0,0.000001,0.000004,0.000032,0.001692,0.002667,0.007199,0,0.000221,0,0.000004,0.000444,0.000604,0,0,0,0,0,0,0,0,0,0,0,0.024656,0.015257,0,0.015311,0,0,0,0,0,0,0
Amerikaanse stierkikker,0.174963,0.005572,0,0.000642,0.008578,0.012210,0.001726,0.005138,0,0.000990,0.000207,0.003353,0.002426,0.008012,0.011988,0.008946,0,0.013265,0,0.003358,0.009828,0.076681,0,0,0,0,0,0,0,0,0,0,0,0.001942,0,0,0,0,0,0,0,0.000099,0,0,0.001543,0.000782,0,0.000158,0.003466,0.005713,0.001584,0.005017,0,0.000325,0.000029,0.001477,0.008171,0.004460,0.002107,0.009885,0,0.000493,0,0.000541,0.001204,0.004263,0,0,0,0,0,0,0,0,0,0,0,0.005388,0,0,0,0,0,0,0,0.004061,0,0
beverrat,0.343114,0.009732,0.000077,0,0,0.059541,0.018493,0.052635,0,0.004389,0.000254,0.000165,0,0.002197,0.024771,0.014748,0.004389,0.008529,0,0.002972,0.009305,0.018625,0.001947,0,0,0,0,0,0,0,0,0,0,0.018523,0.085855,0,0.005967,0,0,0,0,0,0,0,0.001338,0.000604,0.000080,0,0,0.012324,0.007508,0.022736,0,0.000638,0.000016,0.000032,0,0.000541,0.001926,0.007209,0.006608,0.000140,0,0.000212,0.000504,0.000458,0.000332,0,0,0,0,0,0,0,0,0,0,0.022732,0.259192,0,0.073801,0,0,0,0,0,0,0
moerashyacint,0.162612,0.003233,0,0,0.001237,0.026633,0,0.009655,0.001143,0.000289,0.003843,0.001568,0.000237,0.003755,0.003145,0.003737,0.000024,0.015186,0.000257,0.006387,0.011759,0.063816,0,0,0,0,0.000189,0.001416,0.000150,0,0.003894,0.000098,0,0.000961,0,0,0,0,0,0,0,0,0,0,0.000825,0.000261,0,0,0.000288,0.007171,0,0.005426,0.002002,0.000055,0.000311,0.000398,0.000460,0.001203,0.000318,0.002376,0.000047,0.000325,0.000027,0.000592,0.000829,0.002042,0,0,0,0,0.000136,0.000533,0.000072,0,0.004300,0.000366,0,0.001534,0,0,0,0,0,0,0,0,0,0
vijfbladige wingerd,0.123995,0.004056,0,0.001843,0.000939,0.005953,0,0,0,0,0.010724,0.009289,0,0.002325,0.007422,0.000288,0,0.036410,0,0,0.002697,0.016009,0,0,0,0,0.005529,0.003207,0.008528,0.000023,0.004020,0.000002,0,0.003258,0,0,0,0.001474,0,0,0,0,0,0,0.000442,0.000230,0,0.000183,0.000153,0.001125,0,0,0,0,0.000609,0.001654,0,0.000523,0.000527,0.000129,0,0.000547,0,0,0.000134,0.000360,0,0,0,0,0.002806,0.000847,0.002856,0.000036,0.003116,0.000004,0,0.003653,0,0,0,0.025395,0,0,0,0,0,0
