"soort";"buffer";"percentage";"aantal";"rang_percentage";"rang_aantal"
"Japans steltgras";200;0;0;71;55
"Japans steltgras";300;0;0;72;53
"Japans steltgras";400;0;0;72;54
"Japans steltgras";500;0;0;74;59
"parelvederkruid";50;0,000662989075383875;52;23;22
"parelvederkruid";75;0,00126619045752652;59;23;20
"parelvederkruid";100;0,00200068534197005;66;23;20
"parelvederkruid";125;0,00285663810882045;77;23;21
"parelvederkruid";150;0,00385487489509892;86;22;20
"parelvederkruid";200;0,00625062760819659;100;21;21
"parelvederkruid";300;0,0123046980976984;126;21;21
"parelvederkruid";400;0,019912249832331;161;20;21
"parelvederkruid";500;0,0286710783412659;199;20;20
"ongelijkbladig vederkruid";50;5,65120251477488e-05;10;49;38
"ongelijkbladig vederkruid";75;0,000134300063788176;13;47;36
"ongelijkbladig vederkruid";100;0,000236832136157386;14;47;36
"ongelijkbladig vederkruid";125;0,000360604372719541;14;47;38
"ongelijkbladig vederkruid";150;0,000505161223510975;14;48;38
"ongelijkbladig vederkruid";200;0,000863033068281573;17;47;41
"ongelijkbladig vederkruid";300;0,00193666940583902;21;45;40
"ongelijkbladig vederkruid";400;0,0033423720398666;25;44;39
"ongelijkbladig vederkruid";500;0,00501819095669987;32;42;40
"fraai lampenpoetsersgras";50;0;0;65;45
"fraai lampenpoetsersgras";75;0;0;67;46
"fraai lampenpoetsersgras";100;0;0;67;45
"fraai lampenpoetsersgras";125;0;0;69;47
"fraai lampenpoetsersgras";150;0;0;69;47
"fraai lampenpoetsersgras";200;0;0;71;55
"fraai lampenpoetsersgras";300;0;0;72;53
"fraai lampenpoetsersgras";400;0;0;72;54
"fraai lampenpoetsersgras";500;0;0;74;59
"grote vlotvaren";50;0;0;65;45
"grote vlotvaren";75;0;0;67;46
"grote vlotvaren";100;0;0;67;45
"grote vlotvaren";125;0;0;69;47
"grote vlotvaren";150;0;0;69;47
"grote vlotvaren";200;0;0;71;55
"grote vlotvaren";300;0;0;72;53
"grote vlotvaren";400;0;0;72;54
"grote vlotvaren";500;0;0;74;59
"treurmaina";50;0;0;65;45
"treurmaina";75;0;0;67;46
"treurmaina";100;0;0;67;45
"treurmaina";125;0;0;69;47
"treurmaina";150;0;0;69;47
"treurmaina";200;0;0;71;55
"treurmaina";300;0;0;72;53
"treurmaina";400;0;0;72;54
"treurmaina";500;0;0;74;59
"nijlgans";50;0,0567188390289776;930;1;2
"nijlgans";75;0,0921237563764266;1025;1;1
"nijlgans";100;0,126709992447895;1114;1;1
"nijlgans";125;0,160215528877709;1188;1;1
"nijlgans";150;0,192844022803829;1267;1;1
"nijlgans";200;0,255051864779921;1382;2;1
"nijlgans";300;0,369819524879964;1578;2;1
"nijlgans";400;0,469594495739475;1743;2;1
"nijlgans";500;0,555544941454882;1888;2;1
"Pallas' eekhoorn";50;0;0;65;45
"Pallas' eekhoorn";75;0;0;67;46
"Pallas' eekhoorn";100;0;0;67;45
"Pallas' eekhoorn";125;0;0;69;47
"Pallas' eekhoorn";150;0;0;69;47
"Pallas' eekhoorn";200;0;0;71;55
"Pallas' eekhoorn";300;0;0;72;53
"Pallas' eekhoorn";400;0;0;72;54
"Pallas' eekhoorn";500;1,73602887245085e-05;1;72;58
"Chinese wolhandkrab";50;0,000850056324660086;97;19;15
"Chinese wolhandkrab";75;0,00181078901777224;106;17;15
"Chinese wolhandkrab";100;0,00308091087227601;118;16;16
"Chinese wolhandkrab";125;0,00463322056506309;124;16;16
"Chinese wolhandkrab";150;0,00642221315770352;134;16;15
"Chinese wolhandkrab";200;0,0106561447243896;154;17;16
"Chinese wolhandkrab";300;0,0207667557003483;198;16;15
"Chinese wolhandkrab";400;0,0318207436249785;240;16;15
"Chinese wolhandkrab";500;0,0431324634126062;273;16;15
"zonnebaars";50;0,000766602000264382;65;22;18
"zonnebaars";75;0,0015562578610962;73;22;17
