soort,species,abbr,gebied,overlap,type
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2500932,4.470096,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2501033,0.005605,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2501033,0.322313,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2501033,3.991530,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2524317,0.000247,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2524317,0.054581,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BE2524317,0.675933,sel
rimpelroos,Rosa rugosa Thunb.,Rr,VGLRL,0.106144,in
rimpelroos,Rosa rugosa Thunb.,Rr,VGLRL,0.007977,of
rimpelroos,Rosa rugosa Thunb.,Rr,VGLRL,1.472458,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2100323,0.000045,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2100323,0.000153,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2100323,0.028170,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2101437,0.000520,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2101437,0.000933,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2101437,0.172287,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2101538,0.001329,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2101538,0.001386,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2101538,0.255862,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2101639,0.010047,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2101639,0.013706,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2101639,2.529785,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2200626,0.000603,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2200626,0.007866,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2200626,1.451856,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2200727,0.000096,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2200727,0.000304,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2200727,0.056044,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2217310,0.001657,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2217310,0.001240,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2217310,0.228838,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2218311,0.000841,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2218311,0.000698,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2218311,0.128919,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2219312,0.000895,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2219312,0.002577,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2219312,0.475643,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2221314,0.002956,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2221314,0.001663,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2221314,0.306911,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2223316,0.002575,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2223316,0.002945,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2223316,0.543531,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2300222,0.000116,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2300222,0.004458,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2300222,0.822943,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2301134,0.000282,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2301134,0.002661,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2301134,0.491179,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2301235,0.005288,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2301235,0.009317,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2301235,1.719822,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2301336,0.008702,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2301336,0.009068,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2301336,1.673785,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2422315,0.000444,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2422315,0.002623,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2422315,0.484087,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2500121, 0.040841,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2500121, 0.270244,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2500121,49.882076,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2500831,0.001342,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2500831,0.001929,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2500831,0.356066,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2500932,0.006154,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2500932,0.004653,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2500932,0.858767,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2501033, 0.017478,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2501033, 0.067427,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2501033,12.445690,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2524317, 0.003936,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2524317, 0.058353,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2524317,10.770850,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2100424,0,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2100424,0,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2100424,0,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2200525,0,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2200525,0,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2200525,0,sel
rimpelroos,Rosa rugosa Thunb.,Rr,BE2220313,0,in
rimpelroos,Rosa rugosa Thunb.,Rr,BE2220313,0,of
rimpelroos,Rosa rugosa Thunb.,Rr,BE2220313,0,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,VGLRL,0.136469,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,VGLRL,0.054994,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,VGLRL,1.893142,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2100323,0.009173,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2100323,0.166332,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2100323,5.725892,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2100424,0.000097,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2100424,0.044782,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2100424,1.541596,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2101437,0.006877,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2101437,0.066248,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2101437,2.280555,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2101538,0.008420,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2101538,0.047104,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2101538,1.621520,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2101639,0.010017,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2101639,0.073269,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2101639,2.522254,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2200525,0.004704,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2200525,0.237392,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2200525,8.172065,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2200626, 0.004572,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2200626, 0.320028,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2200626,11.016760,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2200727,0.006664,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2200727,0.112538,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2200727,3.874048,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2217310,0.009447,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2217310,0.037908,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2217310,1.304945,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2218311,0.014180,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2218311,0.063154,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2218311,2.174049,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2219312,0.009148,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2219312,0.141284,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2219312,4.863608,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2220313,0.003815,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2220313,0.052974,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2220313,1.823600,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2221314,0.015795,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2221314,0.047643,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2221314,1.640084,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2223316,0.014588,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2223316,0.089443,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2223316,3.079027,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2300222,0.000565,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2300222,0.116363,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2300222,4.005713,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2301235,0.004587,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2301235,0.043333,of
