"","groep","soort","GBIF_canonicalName","GBIF_scientificName","GBIF_code","species_wettelijke_naam","species_wettelijke_naam_bron","reg","rip","dun","vad","hoc","marien","brakwater","zoetwater","terrestrisch","natuur","volksgezondheid","veiligheid","infrastructuur","socioeconomisch","indamming_min","indamming_gem","indamming_stafw","indamming_max","uitroeiing_min","uitroeiing_gem","uitroeiing_stafw","uitroeiing_max","int_groep","aanwezigheid"
"11","dier","Aziatische modderkruiper","Misgurnus anguillicaudatus","Misgurnus anguillicaudatus (Cantor, 1842)",2367919,"Misgurnus anguillicaudatus (Cantor, 1842)",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig"
"12","dier","Aziatische naaldmier","Brachyponera chinensis","Brachyponera chinensis (Emery, 1895)",10314173,"Brachyponera chinensis (Emery, 1895)",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig"
"13","dier","Aziatische reuzenhoornaar","Vespa mandarinia","Vespa mandarinia Smith, 1852",5871429,"Vespa mandarinia Smith, 1852",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig"
"14","dier","Aziatische tijgermug","Aedes albopictus","Aedes albopictus (Skuse, 1894)",1651430,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"IRR","sporadisch"
"15","dier","Californische rivierkreeft","Pacifastacus leniusculus","Pacifastacus leniusculus (Dana, 1852)",2226990,"Pacifastacus leniusculus Dana, 1852",1,1,NA,NA,NA,NA,0,0,1,0,1,0,0,1,1,2.42857142857143,3.08571428571429,0.398978286964827,3.42857142857143,2.71428571428571,2.94285714285714,0.259512887494071,3.28571428571429,"REL-AAN-SPO","sporadisch"
"16","dier","Canadese bever","Castor canadensis","Castor canadensis Kuhl, 1820",2439838,"Castor canadensis Kuhl, 1820",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig"
"17","dier","Canadese gans","Branta canadensis","Branta canadensis (Linnaeus, 1758)",5232437,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AAN-GEV-VER-BUI","aanwezig"
"18","dier","Chinese muntjak","Muntiacus reevesi","Muntiacus reevesi (Ogilby, 1839)",2440946,"Muntiacus reevesi Ogilby, 1839",1,1,NA,NA,NA,NA,0,0,0,1,1,0,1,0,1,2.71428571428571,2.9047619047619,0.218217890235992,3.14285714285714,3.14285714285714,3.33333333333333,0.218217890235993,3.57142857142857,"REL-AAN-GEV-BEP","aanwezig"
"19","dier","Chinese weekschildpad","Pelodiscus sinensis","Pelodiscus sinensis Wiegmann, 1835",5220435,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sporadisch"
"20","dier","Chinese wolhandkrab","Eriocheir sinensis","Eriocheir sinensis H.Milne Edwards, 1853",2225776,"Eriocheir sinensis H. Milne Edwards, 1854",1,1,NA,NA,NA,NA,1,1,1,0,1,0,0,1,1,3,3.21428571428571,0.273550602216097,3.57142857142857,2.57142857142857,3,0.451753951452626,3.57142857142857,"REL-AAN-GEV-VER-NAT","aanwezig"
"21","dier","Cipangopaludina chinensis","Cipangopaludina chinensis","Cipangopaludina chinensis (J.E.Gray, 1833)",9738098,"Cipangopaludina chinensis (Gray 1834)",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aanwezig"
"22","dier","Indische mangoeste","Herpestes javanicus","Herpestes javanicus (É.Geoffroy Saint-Hilaire, 1818)",2434271,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",1,1,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"23","dier","Kentuckyrivierkreeft","Faxonius juvenilis","Faxonius juvenilis (Hagen, 1870)",8721209,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig"
"24","dier","Metaphire hilgendorfi","Metaphire hilgendorfi","Metaphire hilgendorfi (Michaelsen, 1892)",8458912,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig"
"25","dier","Nieuw-Guinese landplatworm","Platydemus manokwari","Platydemus manokwari Beauchamp, 1962",5892137,"Platydemus manokwari de Beauchamp, 1963",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig"
"26","dier","Nieuw-Zeelandse platworm","Arthurdendyus triangulatus","Arthurdendyus triangulatus (Dendy, 1895)",2502792,"Arthurdendyus triangulatus (Dendy, 1894) Jones & Gerard (1999)",3,3,NA,NA,NA,NA,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"27","dier","Noord-Atlantische zeester","Asterias amurensis","Asterias amurensis Lutken, 1871",5187508,"Asterias amurensis Lutken, 1871",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","dier","Noord-Aziatische modderkruiper","Misgurnus bipartitus","Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874)",2367913,"Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874)",5,5,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AAN-SPO","afwezig"
"29","dier","Pallas' eekhoorn","Callosciurus erythraeus","Callosciurus erythraeus (Pallas, 1779)",2437394,"Callosciurus erythraeus Pallas, 1779",1,1,NA,NA,NA,NA,0,0,0,1,1,0,0,1,0,3.14285714285714,3.38095238095238,0.297380857066591,3.71428571428571,3.42857142857143,3.76190476190476,0.297380857066591,4,"REL-AAN-SPO","sporadisch"
"30","dier","Procambarus zonangulus","Procambarus zonangulus","Procambarus zonangulus Hobbs & Hobbs Iii, 1990",2227231,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig"
"31","dier","Siberische grondeekhoorn","Tamias sibiricus","Tamias sibiricus (Laxmann, 1769)",2437450,"Tamias sibiricus Laxmann, 1769 (Eutamias sibiricus (Laxmann, 1769))",5,1,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,2.71428571428571,3.23809523809524,0.501697797754892,3.71428571428571,2.71428571428571,3.0952380952381,0.359515925489083,3.42857142857143,"REL-AAN-GEV-BEP","aanwezig"
"32","dier","Thailandeekhoorn","Callosciurus finlaysonii","Callosciurus finlaysonii (Horsfield, 1823)",2437399,"Callosciurus finlaysonii (Horsfield, 1823)",4,4,NA,NA,NA,NA,0,0,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"33","dier","Turkse rivierkreeft","Pontastacus leptodactylus","Pontastacus leptodactylus (Eschscholtz, 1823)",8946295,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sporadisch"
"34","dier","amoergrondel","Perccottus glenii","Perccottus glenii Dybowski, 1877",2390064,"Perccottus glenii Dybowski, 1877",1,1,NA,NA,NA,NA,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"35","dier","axishert","Axis axis","Axis axis (Erxleben, 1777)",2440934,"Axis axis (Erxleben, 1777)",4,4,NA,NA,NA,NA,0,0,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"36","dier","beverrat","Myocastor coypus","Myocastor coypus (Molina, 1782)",4264680,"Myocastor coypus Molina, 1782",1,1,NA,NA,NA,NA,0,0,1,1,1,1,0,1,0,3,3.14285714285714,0.142857142857143,3.28571428571429,2.85714285714286,2.95238095238095,0.164957219768464,3.14285714285714,"REL-AAN-GEV-BEP","aanwezig"
"37","dier","blauwbandgrondel","Pseudorasbora parva","Pseudorasbora parva (Temminck & Schlegel, 1846)",2362868,"Pseudorasbora parva Temminck & Schlegel, 1846",1,1,NA,NA,NA,NA,0,1,1,0,1,0,0,0,1,2.71428571428571,2.80952380952381,0.0824786098842322,2.85714285714286,1.85714285714286,2.38095238095238,0.577350269189626,3,"REL-AAN-GEV-VER-BUI","aanwezig"
"38","dier","calicotrivierkreeft","Faxonius immunis","Faxonius immunis (Hagen, 1870)",8930656,"Faxonius immunis (Hagen, 1870)",5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig"
"39","dier","damhert","Dama dama","Dama dama (Linnaeus, 1758)",5220136,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aanwezig"
"40","dier","dwergvuurmier","Wasmannia auropunctata","Wasmannia auropunctata (Roger, 1863)",1315391,"Wasmannia auropunctata (Roger, 1863)",4,4,NA,NA,NA,NA,0,0,0,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"41","dier","geknobbelde Amerikaanse rivierkreeft","Faxonius virilis","Faxonius virilis (Hagen, 1870)",8971201,"Orconectes virilis Hagen, 1870 (Faxonius virilis Hagen, 1870)",3,1,1,NA,NA,NA,0,0,1,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","sporadisch"
"42","dier","gestreepte Amerikaanse rivierkreeft","Procambarus acutus","Procambarus acutus (Girard, 1852)",2227289,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aanwezig"
"43","dier","gestreepte koraalmeerval","Plotosus lineatus","Plotosus lineatus (Thunberg, 1787)",7965247,"Plotosus lineatus (Thunberg, 1787)",3,3,NA,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRR",NA
"44","dier","gevlekte Amerikaanse rivierkreeft","Faxonius limosus","Faxonius limosus (Rafinesque, 1817)",8909595,"Orconectes limosus Rafinesque, 1817 (Faxonius limosus Rafinesque, 1817)",3,1,NA,NA,NA,NA,0,0,1,0,1,0,0,1,1,3,3.31428571428571,0.255550625999976,3.57142857142857,2.71428571428571,2.91428571428571,0.127775312999988,3,"REL-AAN-GEV-VER-BUI","aanwezig"
"45","dier","gewone koningsslang","Lampropeltis getula","Lampropeltis getula (Linnaeus, 1766)",9799308,"Lampropeltis getula (Linnaeus, 1766)",4,4,NA,NA,NA,NA,0,0,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","sporadisch"
"46","dier","gewone yabby","Cherax destructor","Cherax destructor Clark, 1936",4417558,"Cherax destructor Clark, 1936",5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig"
"47","dier","gouden mossel","Limnoperna fortunei","Limnoperna fortunei (Dunker, 1857)",5855350,"Limnoperna fortunei (Dunker, 1857)",4,4,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"48","dier","grijze eekhoorn","Sciurus carolinensis","Sciurus carolinensis Gmelin, 1788",5219681,"Sciurus carolinensis Gmelin, 1788",1,1,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,2.28571428571429,2.85714285714286,0.515078753637713,3.28571428571429,2.71428571428571,3.42857142857143,0.622699849077239,3.85714285714286,"REL-AAN-SPO","sporadisch"
"49","dier","grote Alexanderparkiet","Psittacula eupatria","Psittacula eupatria (Linnaeus, 1766)",5229055,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aanwezig"
"50","dier","grote agaatslak","Lissachatina fulica","Lissachatina fulica (Bowdich, 1822)",8790531,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sporadisch"
"51","dier","grote gevlekte landplatworm","Obama nungara","Obama nungara Carbayo, Alvarez-Presas, Jones & Riutort, 2016",8701771,"Obama nungara Carbayo, Álvarez-Presas, Jones & Riutort, 2016",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aanwezig"
"52","dier","halsbandparkiet","Psittacula krameri","Psittacula krameri (Scopoli, 1769)",2479226,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aanwezig"
"53","dier","hamerhoofdplatworm","Bipalium kewense","Bipalium kewense Moseley, 1878",2502938,"Bipalium kewense Moseley, 1868",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sporadisch"
"54","dier","heilige ibis","Threskiornis aethiopicus","Threskiornis aethiopicus (Latham, 1790)",2480764,"Threskiornis aethiopicus Latham, 1790",1,1,NA,NA,NA,NA,0,1,1,1,1,0,0,0,0,3.14285714285714,3.66666666666667,0.501697797754893,4.14285714285714,3.14285714285714,3.71428571428571,0.571428571428571,4.28571428571429,"REL-AAN-SPO","sporadisch"
"55","dier","huiskraai","Corvus splendens","Corvus splendens Vieillot, 1817",2482499,"Corvus splendens Viellot, 1817",1,1,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"56","dier","kuifmania","Acridotheres cristatellus","Acridotheres cristatellus (Linnaeus, 1758)",2489010,"Acridotheres cristatellus (Linnaeus, 1758)",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sporadisch"
"57","dier","lettersierschildpad","Trachemys scripta","Trachemys scripta (Thunberg In Schoepff, 1792)",2443002,"Trachemys scripta Schoepff, 1792",1,1,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,3.57142857142857,3.71428571428571,0.202030508910442,3.85714285714286,3.28571428571429,3.52380952380952,0.218217890235993,3.71428571428571,"REL-AAN-GEV-VER-BUI","aanwezig"
"58","dier","marisaslak","Marisa cornuarietis","Marisa cornuarietis (Linnaeus, 1758)",2292586,"Marisa cornuarietis (Linnaeus 1758)",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig"
"59","dier","marmerkreeft","Procambarus virginalis","Procambarus virginalis Lyko, 2017",9442269,"Procambarus fallax (Hagen, 1870) f. virginalis (Procambarus virginalis Lyko, 2017)",3,1,1,NA,NA,NA,0,0,1,0,1,0,0,1,1,2.57142857142857,3.31428571428571,0.583794764048644,4,3.14285714285714,3.48571428571429,0.216653584115759,3.71428571428571,"REL-AAN-GEV-BEP","aanwezig"
"60","dier","monniksparkiet","Myiopsitta monachus","Myiopsitta monachus (Boddaert, 1783)",2479407,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aanwezig"
"61","dier","mummichog","Fundulus heteroclitus","Fundulus heteroclitus (Linnaeus, 1766)",5712056,"Fundulus heteroclitus (Linnaeus, 1766)",4,4,NA,NA,NA,NA,1,1,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"IRR","afwezig"
"62","dier","muskusrat","Ondatra zibethicus","Ondatra zibethicus (Linnaeus, 1766)",5219858,"Ondatra zibethicus Linnaeus, 1766",2,2,NA,NA,NA,NA,0,0,1,1,1,1,0,1,0,2.71428571428571,3,0.404061017820884,3.28571428571429,2.57142857142857,2.64285714285714,0.101015254455221,2.71428571428571,"REL-AAN-GEV-VER-BUI","aanwezig"
"63","dier","nijlgans","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)",2498252,"Alopochen aegyptiacus Linnaeus, 1766",2,2,NA,NA,NA,NA,0,1,1,1,1,0,0,0,1,2.71428571428571,3.19047619047619,0.501697797754892,3.71428571428571,2.71428571428571,3.33333333333333,0.54084841388574,3.71428571428571,"REL-AAN-GEV-VER-BUI","aanwezig"
"64","dier","noordelijke slangekopvis","Channa argus","Channa argus (Cantor, 1842)",4284921,"Channa argus (Cantor, 1842)",4,4,NA,NA,NA,NA,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"65","dier","oostelijk muskietenvisje","Gambusia holbrooki","Gambusia holbrooki Girard, 1859",2350570,"Gambusia holbrooki Girard, 1859",4,4,NA,NA,NA,NA,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"66","dier","prachtslang","Elaphe taeniura","Elaphe taeniura (Cope, 1861)",8889878,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aanwezig"
"67","dier","rode Amerikaanse rivierkreeft","Procambarus clarkii","Procambarus clarkii (Girard, 1852)",2227300,"Procambarus clarkii Girard, 1852",1,1,1,NA,NA,NA,0,1,1,0,1,0,0,1,1,2.71428571428571,3.34285714285714,0.411567436882512,3.71428571428571,2.71428571428571,3.02857142857143,0.274791200881019,3.42857142857143,"REL-AAN-GEV-VER-BUI","aanwezig"
"68","dier","rode neusbeer","Nasua nasua","Nasua nasua (Linnaeus, 1766)",2433536,"Nasua nasua Linnaeus, 1766",1,1,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","sporadisch"
"69","dier","rode vuurmier","Solenopsis invicta","Solenopsis invicta Buren, 1972",5035230,"Solenopsis invicta Buren, 1972",4,4,NA,NA,NA,NA,0,0,0,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"70","dier","roestbruine Amerikaanse rivierkreeft","Faxonius rusticus","Faxonius rusticus (Girard, 1852)",8979506,"Faxonius rusticus (Girard, 1852)",4,4,1,NA,NA,NA,0,0,1,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"71","dier","roodbuikbuulbuul","Pycnonotus cafer","Pycnonotus cafer (Linnaeus, 1766)",2486131,"Pycnonotus cafer (Linnaeus, 1766)",4,4,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"72","dier","roodoorbuulbuul","Pycnonotus jocosus","Pycnonotus jocosus (Linnaeus, 1758)",2486151,"Pycnonotus jocosus (Linnaeus, 1758)",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig"
"73","dier","rosse stekelstaart","Oxyura jamaicensis","Oxyura jamaicensis (J.F.Gmelin, 1789)",2498305,"Oxyura jamaicensis Gmelin, 1789",1,1,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,3.28571428571429,3.66666666666667,0.359515925489083,4,3.71428571428571,3.90476190476191,0.218217890235993,4.14285714285714,"REL-AAN-SPO","sporadisch"
"74","dier","sikahert","Cervus nippon","Cervus nippon Temminck, 1838",2440954,"Cervus nippon Temminck, 1838",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aanwezig"
"75","dier","treurmaina","Acridotheres tristis","Acridotheres tristis (Linnaeus, 1766)",2489005,"Acridotheres tristis Linnaeus, 1766",3,3,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AAN-SPO","sporadisch"
"76","dier","tropische vuurmier","Solenopsis geminata","Solenopsis geminata (Fabricius, 1804)",5035187,"Solenopsis geminata (Fabricius, 1804)",4,4,NA,NA,NA,NA,0,0,0,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"77","dier","wasbeer","Procyon lotor","Procyon lotor (Linnaeus, 1758)",5218786,"Procyon lotor Linnaeus, 1758",1,1,NA,NA,NA,NA,0,0,0,1,1,1,0,1,0,2.42857142857143,2.85714285714286,0.377964473009227,3.14285714285714,1.85714285714286,2.04761904761905,0.164957219768464,2.14285714285714,"REL-AAN-GEV-BEP","aanwezig"
"78","dier","wasbeerhond","Nyctereutes procyonoides","Nyctereutes procyonoides (Gray, 1834)",2434552,"Nyctereutes procyonoides Gray, 1834",2,2,NA,NA,NA,NA,0,0,0,1,1,1,0,0,0,3,3.14285714285714,0.202030508910442,3.28571428571429,2.85714285714286,3.14285714285714,0.404061017820884,3.42857142857143,"REL-AAN-SPO","sporadisch"
"79","dier","westelijk muskietenvisje","Gambusia affinis","Gambusia affinis (Baird & Girard, 1853)",2350580,"Gambusia affinis (Baird & Girard, 1853)",4,4,NA,NA,NA,NA,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"80","dier","zonnebaars","Lepomis gibbosus","Lepomis gibbosus (Linnaeus, 1758)",2394486,"Lepomis gibbosus Linnaeus, 1758",3,3,NA,NA,NA,NA,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AAN-GEV-VER-NAT","aanwezig"
"81","dier","zwarte dwergmeerval","Ameiurus melas","Ameiurus melas (Rafinesque, 1820)",2340977,"Ameiurus melas (Rafinesque, 1820)",4,4,NA,NA,NA,NA,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","sporadisch"
"82","dier","zwarte vuurmier","Solenopsis richteri","Solenopsis richteri Forel, 1909",5035017,"Solenopsis richteri Forel, 1909",4,4,NA,NA,NA,NA,0,0,0,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"83","plant","Acacia mearnsii","Acacia mearnsii","Acacia mearnsii De Wild.",2979775,"Acacia mearnsii [as ‘mearnsi’] De Wild., Pl. Bequaert. 3: 61 (1925)",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig"
"84","plant","Afghaanse duizendknoop","Koenigia polystachya","Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal",8848208,"Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal",4,4,1,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AAN-GEV-BEP","aanwezig"
"85","plant","Amerikaans bezemgras","Andropogon virginicus","Andropogon virginicus L.",2706080,"Andropogon virginicus L.",3,3,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AFW","afwezig"
"86","plant","Aziatische boomwurger","Celastrus orbiculatus","Celastrus orbiculatus Thunb.",3169169,"Celastrus orbiculatus Thunb.",4,4,NA,NA,NA,NA,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AAN-SPO","sporadisch"
