"soort","GBIF_canonicalName","reg","WA","NL","DE","FR","LU","UK"
"grote gevlekte landplatworm","Obama nungara",5,"sporadisch","aanwezig","sporadisch","sporadisch","afwezig","aanwezig"
"halsbandparkiet","Psittacula krameri",NA,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"hamerhoofdplatworm","Bipalium kewense",5,"afwezig","sporadisch","sporadisch","afwezig","afwezig","sporadisch"
"heilige ibis","Threskiornis aethiopicus",1,"sporadisch","sporadisch","sporadisch","sporadisch","afwezig","sporadisch"
"huiskraai","Corvus splendens",1,"afwezig","sporadisch","afwezig","sporadisch","afwezig","afwezig"
"kuifmania","Acridotheres cristatellus",5,"afwezig","sporadisch","afwezig","afwezig","afwezig","afwezig"
"lettersierschildpad","Trachemys scripta",1,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"marisaslak","Marisa cornuarietis",5,"afwezig","sporadisch","afwezig","afwezig","afwezig","afwezig"
"marmerkreeft","Procambarus virginalis",1,"sporadisch","aanwezig","aanwezig","sporadisch","afwezig","afwezig"
"monniksparkiet","Myiopsitta monachus",NA,"sporadisch","aanwezig","sporadisch","sporadisch","afwezig","aanwezig"
"mummichog","Fundulus heteroclitus",4,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"muskusrat","Ondatra zibethicus",2,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","sporadisch"
"nijlgans","Alopochen aegyptiaca",2,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"noordelijke slangekopvis","Channa argus",4,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"oostelijk muskietenvisje","Gambusia holbrooki",4,"afwezig","afwezig","afwezig","sporadisch","afwezig","afwezig"
"prachtslang","Elaphe taeniura",NA,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"rode Amerikaanse rivierkreeft","Procambarus clarkii",1,"aanwezig","aanwezig","aanwezig","aanwezig","sporadisch","sporadisch"
"rode neusbeer","Nasua nasua",1,"afwezig","sporadisch","afwezig","afwezig","afwezig","afwezig"
"rode vuurmier","Solenopsis invicta",4,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"roestbruine Amerikaanse rivierkreeft","Faxonius rusticus",4,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"roodbuikbuulbuul","Pycnonotus cafer",4,"afwezig","sporadisch","sporadisch","sporadisch","sporadisch","afwezig"
"roodoorbuulbuul","Pycnonotus jocosus",5,"sporadisch","afwezig","sporadisch","sporadisch","afwezig","afwezig"
"rosse stekelstaart","Oxyura jamaicensis",1,"sporadisch","aanwezig","aanwezig","sporadisch","afwezig","aanwezig"
"sikahert","Cervus nippon",5,"sporadisch","aanwezig","aanwezig","sporadisch","afwezig","aanwezig"
"treurmaina","Acridotheres tristis",3,"afwezig","sporadisch","afwezig","sporadisch","afwezig","sporadisch"
"tropische vuurmier","Solenopsis geminata",4,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"wasbeer","Procyon lotor",1,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","sporadisch"
"wasbeerhond","Nyctereutes procyonoides",2,"sporadisch","aanwezig","aanwezig","sporadisch","sporadisch","sporadisch"
"westelijk muskietenvisje","Gambusia affinis",4,"afwezig","afwezig","afwezig","sporadisch","afwezig","afwezig"
"zonnebaars","Lepomis gibbosus",3,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","sporadisch"
"zwarte dwergmeerval","Ameiurus melas",4,"sporadisch","aanwezig","sporadisch","aanwezig","sporadisch","afwezig"
"zwarte vuurmier","Solenopsis richteri",4,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"Acacia mearnsii","Acacia mearnsii",5,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"Afghaanse duizendknoop","Koenigia polystachya",4,"sporadisch","aanwezig","aanwezig","aanwezig","afwezig","aanwezig"
"Amerikaans bezemgras","Andropogon virginicus",3,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"Aziatische boomwurger","Celastrus orbiculatus",4,"afwezig","aanwezig","sporadisch","afwezig","afwezig","afwezig"
"Canadese guldenroede","Solidago canadensis",NA,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"Chinese struikklaver","Lespedeza cuneata",3,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"Delairea odorata","Delairea odorata",5,"afwezig","afwezig","afwezig","sporadisch","afwezig","sporadisch"
"Hyacinthoides ×massartiana","Hyacinthoides massartiana",NA,"sporadisch","aanwezig","aanwezig","aanwezig","sporadisch","aanwezig"
"Hydrocharis laevigata","Hydrocharis laevigata",NA,"afwezig","sporadisch","sporadisch","afwezig","afwezig","afwezig"
"Japans hoefblad","Petasites japonicus",NA,"aanwezig","aanwezig","aanwezig","aanwezig","sporadisch","aanwezig"
"Japans steltgras","Microstegium vimineum",2,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"Japans zeegras","Zostera japonica",5,NA,NA,NA,NA,NA,NA
"Japanse duizendknoop","Reynoutria japonica",5,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"Japanse klimvaren","Lygodium japonicum",3,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"Japanse x Sachalinse duizendknoop","Reynoutria bohemica",5,"aanwezig","sporadisch","aanwezig","sporadisch","aanwezig","sporadisch"
"Kaapse waterlelie","Aponogeton distachyos",NA,"aanwezig","aanwezig","sporadisch","sporadisch","afwezig","aanwezig"
"Leidse plant","Saururus cernuus",NA,"sporadisch","sporadisch","sporadisch","sporadisch","afwezig","afwezig"
"Mantsjoerese wilde rijst","Zizania latifolia",NA,"aanwezig","afwezig","sporadisch","afwezig","afwezig","afwezig"
"Perzische berenklauw","Heracleum persicum",1,"afwezig","afwezig","sporadisch","afwezig","afwezig","afwezig"
"Sachalinse duizendknoop","Reynoutria sachalinensis",5,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"Sosnowsky's berenklauw","Heracleum sosnowskyi",1,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"Spaanse hyacint","Hyacinthoides hispanica",NA,"sporadisch","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"Vallisneria australis","Vallisneria australis",NA,"afwezig","sporadisch","sporadisch","sporadisch","afwezig","afwezig"
"alligatorkruid","Alternanthera philoxeroides",2,"afwezig","sporadisch","afwezig","afwezig","afwezig","afwezig"
"ballonrank","Cardiospermum grandiflorum",3,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"boksdoorn","Lycium barbarum",NA,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"egeria","Elodea densa",NA,"sporadisch","aanwezig","sporadisch","sporadisch","sporadisch","sporadisch"
"fraai lampenpoetsersgras","Cenchrus setaceus",2,"sporadisch","sporadisch","sporadisch","sporadisch","sporadisch","sporadisch"
"gele maskerbloem","Erythranthe guttata",NA,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"gestekelde duizendknoop","Persicaria perfoliata",1,"afwezig","sporadisch","afwezig","afwezig","afwezig","afwezig"
"gewone gunnera","Gunnera tinctoria",2,"sporadisch","aanwezig","sporadisch","sporadisch","sporadisch","aanwezig"
"grote vlotvaren","Salvinia molesta",3,"sporadisch","sporadisch","afwezig","afwezig","afwezig","afwezig"
"grote waternavel","Hydrocotyle ranunculoides",1,"aanwezig","aanwezig","aanwezig","aanwezig","afwezig","aanwezig"
"hakea","Hakea sericea",4,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"hemelboom","Ailanthus altissima",3,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"hoog pampagras","Cortaderia jubata",3,"afwezig","afwezig","sporadisch","afwezig","afwezig","afwezig"
"hottentotvijg","Carpobrotus edulis",NA,"afwezig","sporadisch","sporadisch","sporadisch","sporadisch","aanwezig"
"kleine waterteunisbloem","Ludwigia peploides",1,"sporadisch","aanwezig","sporadisch","aanwezig","afwezig","afwezig"
"kudzu","Pueraria montana lobata",1,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"late guldenroede","Solidago gigantea",NA,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"mesquite","Prosopis juliflora",3,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"moerasanemoon","Houttuynia cordata",NA,"aanwezig","aanwezig","aanwezig","sporadisch","sporadisch","aanwezig"
"moerasaronskelk","Lysichiton americanus",1,"aanwezig","aanwezig","aanwezig","sporadisch","sporadisch","aanwezig"
"moerashyacint","Pontederia cordata",NA,"aanwezig","aanwezig","aanwezig","aanwezig","sporadisch","aanwezig"
"ongelijkbladig vederkruid","Myriophyllum heterophyllum",2,"sporadisch","aanwezig","sporadisch","aanwezig","afwezig","afwezig"
"oosterse hop","Humulus scandens",3,"afwezig","sporadisch","afwezig","sporadisch","afwezig","afwezig"
"papiermoerbei","Broussonetia papyrifera",5,"sporadisch","aanwezig","aanwezig","aanwezig","sporadisch","aanwezig"
"parelvederkruid","Myriophyllum aquaticum",1,"sporadisch","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"reuzenbalsemien","Impatiens glandulifera",2,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"reuzenberenklauw","Heracleum mantegazzianum",2,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"rimpelroos","Rosa rugosa",NA,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"roze rimpelgras","Ehrharta calycina",3,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"schijnambrosia","Parthenium hysterophorus",1,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"smalle theeplant","Gymnocoronis spilanthoides",3,"afwezig","sporadisch","afwezig","afwezig","afwezig","afwezig"
"smalle waterpest","Elodea nuttallii",2,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"stomp gaffelwier","Rugulopteryx okamurae",4,NA,NA,NA,NA,NA,NA
"struikaster","Baccharis halimifolia",1,"sporadisch","sporadisch","afwezig","aanwezig","afwezig","sporadisch"
"talgboom","Triadica sebifera",3,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"verspreidbladige waterpest","Lagarosiphon major",1,"sporadisch","aanwezig","aanwezig","sporadisch","sporadisch","aanwezig"
"watercrassula","Crassula helmsii",5,"aanwezig","aanwezig","aanwezig","aanwezig","sporadisch","aanwezig"
"waterhyacint","Pontederia crassipes",1,"sporadisch","sporadisch","afwezig","sporadisch","afwezig","sporadisch"
"watersla","Pistia stratiotes",4,"sporadisch","sporadisch","aanwezig","sporadisch","afwezig","sporadisch"
"waterteunisbloem","Ludwigia grandiflora",1,"aanwezig","aanwezig","sporadisch","aanwezig","sporadisch","aanwezig"
"waterwaaier","Cabomba caroliniana",1,"afwezig","aanwezig","sporadisch","sporadisch","afwezig","sporadisch"
"wilgacacia","Acacia saligna",3,"sporadisch","afwezig","afwezig","afwezig","afwezig","afwezig"
"zijdeplant","Asclepias syriaca",2,"aanwezig","aanwezig","aanwezig","aanwezig","sporadisch","afwezig"
