"soort","GBIF_canonicalName","reg","aanwezigheid"
"moerasanemoon","Houttuynia cordata",NA,"aanwezig"
"moerasaronskelk","Lysichiton americanus",1,"aanwezig"
"moerashyacint","Pontederia cordata",NA,"aanwezig"
"ongelijkbladig vederkruid","Myriophyllum heterophyllum",2,"aanwezig"
"oosterse hop","Humulus scandens",3,"afwezig"
"papiermoerbei","Broussonetia papyrifera",5,"aanwezig"
"parelvederkruid","Myriophyllum aquaticum",1,"aanwezig"
"reuzenbalsemien","Impatiens glandulifera",2,"aanwezig"
"reuzenberenklauw","Heracleum mantegazzianum",2,"aanwezig"
"rimpelroos","Rosa rugosa",NA,"aanwezig"
"roze rimpelgras","Ehrharta calycina",3,"afwezig"
"schijnambrosia","Parthenium hysterophorus",1,"afwezig"
"smalle theeplant","Gymnocoronis spilanthoides",3,"afwezig"
"smalle waterpest","Elodea nuttallii",2,"aanwezig"
"stomp gaffelwier","Rugulopteryx okamurae",4,NA
"struikaster","Baccharis halimifolia",1,"aanwezig"
"talgboom","Triadica sebifera",3,"afwezig"
"verspreidbladige waterpest","Lagarosiphon major",1,"aanwezig"
"watercrassula","Crassula helmsii",5,"aanwezig"
"waterhyacint","Pontederia crassipes",1,"sporadisch"
"watersla","Pistia stratiotes",4,"aanwezig"
"waterteunisbloem","Ludwigia grandiflora",1,"aanwezig"
"waterwaaier","Cabomba caroliniana",1,"sporadisch"
"wilgacacia","Acacia saligna",3,"afwezig"
"zijdeplant","Asclepias syriaca",2,"sporadisch"
