"";"Species";"Soort";"Lijst";"prius_gbif_code";"prius_scientificName";"union_gbif_code";"union_scientificName";"code_check";"prius_name_check";"prius_status_check";"union_status_check";"prius_deleted";"union_deleted";"issue"
"101";"Crassula helmsii (Kirk) Cockayne";"watercrassula";"ANB";5362054;"Crassula helmsii (Kirk) Cockayne";NA;NA;NA;"TRUE";"ACCEPTED";"NA";"FALSE";"NA";NA
"102";"Reynoutria japonica Houtt.";"invasieve duizendknopen";"ANB";2889173;"Reynoutria japonica Houtt.";NA;NA;NA;"TRUE";"ACCEPTED";"NA";"FALSE";"NA";NA
"103";"Fallopia japonica (Houtt.) Ronse Decr.";"invasieve duizendknopen";"ANB";5334357;"Fallopia japonica (Houtt.) Ronse Decr.";NA;NA;NA;"TRUE";"SYNONYM";"NA";"FALSE";"NA";NA
"104";"Reynoutria sachalinensis (F.Schmidt) Nakai";"invasieve duizendknopen";"ANB";2889088;"Reynoutria sachalinensis (F.Schmidt) Nakai";NA;NA;NA;"TRUE";"ACCEPTED";"NA";"FALSE";"NA";NA
"105";"Fallopia sachalinensis (F.Schmidt) Ronse Decr.";"invasieve duizendknopen";"ANB";5334293;"Fallopia sachalinensis (F.Schmidt) Ronse Decr.";NA;NA;NA;"TRUE";"SYNONYM";"NA";"FALSE";"NA";NA
"106";"Reynoutria ×bohemica Chrtek & Chrtková";"invasieve duizendknopen";"ANB";4038485;"Reynoutria ×bohemica Chrtek & Chrtková";NA;NA;NA;"TRUE";"ACCEPTED";"NA";"FALSE";"NA";NA
"107";"Fallopia ×bohemica (Chrtek & Chrtková) J.P.Bailey";"invasieve duizendknopen";"ANB";5652296;"Fallopia ×bohemica (Chrtek & Chrtková) J.P.Bailey";NA;NA;NA;"TRUE";"SYNONYM";"NA";"FALSE";"NA";NA
"108";"Aedes albopictus (Skuse, 1894)";"Aziatische tijgermug";"ANB";1651430;"Aedes albopictus (Skuse, 1894)";NA;NA;NA;"TRUE";"ACCEPTED";"NA";"FALSE";"NA";NA
"109";"Branta canadensis (Linnaeus, 1758)";"Canadese gans";"ANB";5232437;"Branta canadensis (Linnaeus, 1758)";NA;NA;NA;"TRUE";"ACCEPTED";"NA";"FALSE";"NA";NA
"110";"Mustela vison Schreber, 1777";"Amerikaanse nerts";"ANB";5218823;"Mustela vison Schreber, 1777";NA;NA;NA;"TRUE";"ACCEPTED";"NA";"FALSE";"NA";NA
"111";"Lithobates catesbeianus Shaw, 1802";NA;NA;NA;NA;2427091;"Lithobates catesbeianus (Shaw, 1802)";NA;NA;"NA";"ACCEPTED";"NA";"FALSE";NA
"112";"Rana catesbeiana Shaw, 1802";NA;NA;NA;NA;2427092;"Rana catesbeiana Shaw, 1802";NA;NA;"NA";"HOMOTYPIC_SYNONYM";"NA";"FALSE";NA
"113";"Pennisetum setaceum (Forssk.) Chiov.";NA;NA;NA;NA;2706134;"Pennisetum setaceum (Forssk.) Chiov.";NA;NA;"NA";"SYNONYM";"NA";"FALSE";NA
