"acceptedTaxonKey";"acceptedScientificName";"year_begin";"year_end";"gbif_download_key";"gbif_download_created";"project"
6063677;"Gymnocoronis spilanthoides DC.";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
5035017;"Solenopsis richteri Forel, 1909";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2440954;"Cervus nippon Temminck, 1838";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2502792;"Arthurdendyus triangulatus (Dendy, 1895)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2367911;"Misgurnus mohoity (Dybowski, 1869)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2984537;"Humulus scandens (Lour.) Merr.";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
8889878;"Elaphe taeniura (Cope, 1861)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
5187508;"Asterias amurensis Lutken, 1871";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2439838;"Castor canadensis Kuhl, 1820";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
5217334;"Xenopus laevis (Daudin, 1802)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2440934;"Axis axis (Erxleben, 1777)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
9799308;"Lampropeltis getula (Linnaeus, 1766)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2489010;"Acridotheres cristatellus (Linnaeus, 1758)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2704521;"Cortaderia jubata (Lemoine) Stapf";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2486151;"Pycnonotus jocosus (Linnaeus, 1758)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2702865;"Ehrharta calycina Sm.";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
5219683;"Sciurus niger Linnaeus, 1758";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2863943;"Zostera japonica Asch. & Graebn.";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
7287606;"Hakea sericea Schrad. & J.C.Wendl.";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
1319870;"Pachycondyla chinensis (Emery, 1895)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
4284921;"Channa argus (Cantor, 1842)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
4417558;"Cherax destructor Clark, 1936";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2865524;"Vallisneria australis S.W.L.Jacobs & Les";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
5274863;"Salvinia × molesta D.S.Mitch.";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
10919373;"Zizania latifolia (Griseb.) Hance ex F.Muell.";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
3642949;"Heracleum sosnowskyi Manden.";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
11055820;"Hydrocharis laevigata (Humb. & Bonpl. ex Willd.) Byng & Christenh.";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
5824863;"Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
5220435;"Pelodiscus sinensis Wiegmann, 1835";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
8721209;"Faxonius juvenilis (Hagen, 1870)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2437394;"Callosciurus erythraeus (Pallas, 1779)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2433536;"Nasua nasua (Linnaeus, 1766)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
5229055;"Psittacula eupatria (Linnaeus, 1766)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2227231;"Procambarus zonangulus Hobbs & Hobbs Iii, 1990";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
