Groep,Species,Soort,Lijst,GBIF_code,GBIF_scientific_name,n_tot,unique_cells
dier,"Morone americana (Gmelin, 1789)",Morone americana,4,2394604,"Morone americana (Gmelin, 1789)",NA,NA
dier,"Pycnonotus cafer (Linnaeus, 1766)",Pycnonotus cafer,4,2486131,"Pycnonotus cafer (Linnaeus, 1766)",NA,NA
plant,"Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009",stomp gaffelwier,4,5824863,"Rugulopteryx okamurae (Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009",NA,NA
dier,"Solenopsis geminata (Fabricius, 1804)",Solenopsis geminata,4,5035187,"Solenopsis geminata (Fabricius, 1804)",NA,NA
dier,"Solenopsis invicta Buren, 1972",Solenopsis invicta,4,5035230,"Solenopsis invicta Buren, 1972",NA,NA
dier,"Solenopsis richteri Forel, 1909",Solenopsis richteri,4,5035017,"Solenopsis richteri Forel, 1909",NA,NA
dier,"Wasmannia auropunctata (Roger, 1863)",Wasmannia auropunctata,4,1315391,"Wasmannia auropunctata (Roger, 1863)",NA,NA
dier,"Xenopus laevis (Daudin, 1802)",Afrikaanse klauwkikker,4,5217334,"Xenopus laevis (Daudin, 1802)",NA,NA
plant,Fallopia japonica (Houtt.) Ronse Decr.,invasieve duizendknopen,ANB,5334357,Fallopia japonica (Houtt.) Ronse Decr.,NA,NA
plant,Fallopia sachalinensis (F.Schmidt) Ronse Decr.,invasieve duizendknopen,ANB,5334293,Fallopia sachalinensis (F.Schmidt) Ronse Decr.,NA,NA
plant,Fallopia \xd7bohemica (Chrtek & Chrtkov\xe1) J.P.Bailey,invasieve duizendknopen,ANB,5652296,Fallopia ×bohemica (Chrtek & Chrtková) J.P.Bailey,NA,NA
